Created as New Dataset,Sample 008 By Administrator Date Thursday, October 16 2025
cm-1,%T
3377.00,97.03
3376.00,97.04
3375.00,97.04
3374.00,97.04
3373.00,97.05
3372.00,97.05
3371.00,97.05
3370.00,97.03
3369.00,97.01
3368.00,96.98
3367.00,96.95
3366.00,96.95
3365.00,96.98
3364.00,97.00
3363.00,97.02
3362.00,97.03
3361.00,97.04
3360.00,97.05
3359.00,97.05
3358.00,97.05
3357.00,97.05
3356.00,97.05
3355.00,97.06
3354.00,97.07
3353.00,97.08
3352.00,97.08
3351.00,97.08
3350.00,97.08
3349.00,97.08
3348.00,97.08
3347.00,97.09
3346.00,97.09
3345.00,97.10
3344.00,97.10
3343.00,97.10
3342.00,97.10
3341.00,97.10
3340.00,97.10
3339.00,97.08
3338.00,97.07
3337.00,97.07
3336.00,97.09
3335.00,97.11
3334.00,97.13
3333.00,97.13
3332.00,97.13
3331.00,97.11
3330.00,97.11
3329.00,97.10
3328.00,97.10
3327.00,97.10
3326.00,97.10
3325.00,97.11
3324.00,97.12
3323.00,97.13
3322.00,97.14
3321.00,97.15
3320.00,97.15
3319.00,97.14
3318.00,97.14
3317.00,97.14
3316.00,97.12
3315.00,97.11
3314.00,97.10
3313.00,97.10
3312.00,97.11
3311.00,97.10
3310.00,97.10
3309.00,97.10
3308.00,97.13
3307.00,97.16
3306.00,97.18
3305.00,97.18
3304.00,97.17
3303.00,97.17
3302.00,97.17
3301.00,97.16
3300.00,97.15
3299.00,97.14
3298.00,97.15
3297.00,97.16
3296.00,97.18
3295.00,97.17
3294.00,97.15
3293.00,97.14
3292.00,97.14
3291.00,97.15
3290.00,97.16
3289.00,97.17
3288.00,97.18
3287.00,97.19
3286.00,97.20
3285.00,97.20
3284.00,97.20
3283.00,97.20
3282.00,97.20
3281.00,97.20
3280.00,97.19
3279.00,97.17
3278.00,97.15
3277.00,97.13
3276.00,97.11
3275.00,97.11
3274.00,97.13
3273.00,97.17
3272.00,97.20
3271.00,97.23
3270.00,97.24
3269.00,97.23
3268.00,97.23
3267.00,97.22
3266.00,97.21
3265.00,97.22
3264.00,97.23
3263.00,97.24
3262.00,97.24
3261.00,97.24
3260.00,97.24
3259.00,97.23
3258.00,97.22
3257.00,97.20
3256.00,97.18
3255.00,97.18
3254.00,97.19
3253.00,97.23
3252.00,97.25
3251.00,97.26
3250.00,97.26
3249.00,97.25
3248.00,97.23
3247.00,97.19
3246.00,97.16
3245.00,97.17
3244.00,97.21
3243.00,97.25
3242.00,97.27
3241.00,97.27
3240.00,97.27
3239.00,97.26
3238.00,97.26
3237.00,97.25
3236.00,97.26
3235.00,97.26
3234.00,97.26
3233.00,97.26
3232.00,97.26
3231.00,97.26
3230.00,97.26
3229.00,97.26
3228.00,97.27
3227.00,97.29
3226.00,97.31
3225.00,97.32
3224.00,97.31
3223.00,97.29
3222.00,97.27
3221.00,97.25
3220.00,97.26
3219.00,97.28
3218.00,97.30
3217.00,97.29
3216.00,97.26
3215.00,97.24
3214.00,97.26
3213.00,97.28
3212.00,97.29
3211.00,97.28
3210.00,97.28
3209.00,97.31
3208.00,97.34
3207.00,97.36
3206.00,97.37
3205.00,97.37
3204.00,97.37
3203.00,97.37
3202.00,97.37
3201.00,97.35
3200.00,97.32
3199.00,97.30
3198.00,97.29
3197.00,97.32
3196.00,97.36
3195.00,97.39
3194.00,97.40
3193.00,97.41
3192.00,97.41
3191.00,97.42
3190.00,97.42
3189.00,97.41
3188.00,97.40
3187.00,97.38
3186.00,97.37
3185.00,97.38
3184.00,97.40
3183.00,97.42
3182.00,97.42
3181.00,97.39
3180.00,97.34
3179.00,97.32
3178.00,97.34
3177.00,97.39
3176.00,97.43
3175.00,97.45
3174.00,97.45
3173.00,97.44
3172.00,97.44
3171.00,97.44
3170.00,97.45
3169.00,97.45
3168.00,97.46
3167.00,97.46
3166.00,97.46
3165.00,97.46
3164.00,97.47
3163.00,97.48
3162.00,97.48
3161.00,97.49
3160.00,97.49
3159.00,97.49
3158.00,97.49
3157.00,97.49
3156.00,97.49
3155.00,97.49
3154.00,97.49
3153.00,97.49
3152.00,97.50
3151.00,97.51
3150.00,97.51
3149.00,97.51
3148.00,97.51
3147.00,97.50
3146.00,97.50
3145.00,97.50
3144.00,97.51
3143.00,97.51
3142.00,97.52
3141.00,97.52
3140.00,97.53
3139.00,97.53
3138.00,97.54
3137.00,97.53
3136.00,97.51
3135.00,97.47
3134.00,97.45
3133.00,97.46
3132.00,97.50
3131.00,97.54
3130.00,97.55
3129.00,97.53
3128.00,97.51
3127.00,97.51
3126.00,97.50
3125.00,97.49
3124.00,97.48
3123.00,97.47
3122.00,97.48
3121.00,97.49
3120.00,97.49
3119.00,97.47
3118.00,97.46
3117.00,97.46
3116.00,97.48
3115.00,97.52
3114.00,97.54
3113.00,97.56
3112.00,97.56
3111.00,97.56
3110.00,97.56
3109.00,97.57
3108.00,97.58
3107.00,97.59
3106.00,97.58
3105.00,97.57
3104.00,97.54
3103.00,97.50
3102.00,97.49
3101.00,97.51
3100.00,97.55
3099.00,97.57
3098.00,97.56
3097.00,97.54
3096.00,97.54
3095.00,97.57
3094.00,97.60
3093.00,97.63
3092.00,97.64
3091.00,97.64
3090.00,97.63
3089.00,97.63
3088.00,97.63
3087.00,97.63
3086.00,97.63
3085.00,97.62
3084.00,97.60
3083.00,97.58
3082.00,97.56
3081.00,97.55
3080.00,97.56
3079.00,97.59
3078.00,97.62
3077.00,97.65
3076.00,97.66
3075.00,97.67
3074.00,97.67
3073.00,97.67
3072.00,97.67
3071.00,97.66
3070.00,97.64
3069.00,97.62
3068.00,97.59
3067.00,97.56
3066.00,97.56
3065.00,97.58
3064.00,97.62
3063.00,97.65
3062.00,97.67
3061.00,97.67
3060.00,97.66
3059.00,97.64
3058.00,97.62
3057.00,97.62
3056.00,97.63
3055.00,97.67
3054.00,97.69
3053.00,97.70
3052.00,97.68
3051.00,97.66
3050.00,97.65
3049.00,97.66
3048.00,97.67
3047.00,97.69
3046.00,97.70
3045.00,97.70
