wavelength_nm,intensity_mean,
378.323,2410.821668,
378.54,2408.655838,
378.757,2364.649968,
378.974,2313.49124,
379.191,2316.929418,
379.408,2283.185088,
379.625,2236.942916,
379.842,2164.22499,
380.059,2190.824322,
380.276,2146.222772,
380.493,2054.89817,
380.71,2063.52019,
380.927,2072.097096,
381.143,2080.695516,
381.36,2194.840036,
381.577,2302.325724,
381.794,2311.21766,
382.011,2371.273874,
382.228,2549.773266,
382.444,2635.7786,
382.661,2684.496622,
382.878,2760.031072,
383.095,2887.535848,
383.311,3035.440338,
383.528,3088.877444,
383.745,3307.454954,
383.962,3572.61578,
384.178,3779.502594,
384.395,3958.446684,
384.612,4165.183976,
384.828,4545.921548,
385.045,4871.846334,
385.261,5252.310512,
385.478,5595.870556,
385.695,5948.991822,
385.911,6339.651408,
386.128,6427.502214,
386.344,6626.526388,
386.561,6796.905302,
386.777,7037.326208,
386.994,7252.721598,
387.21,7385.774752,
387.427,7647.437476,
387.643,7843.11414,
387.86,8067.048122,
388.076,7970.493926,
388.292,8216.139842,
388.509,8073.403794,
388.725,8325.903786,
388.942,8468.770912,
389.158,8601.60197,
389.374,8756.140236,
389.591,8517.601542,
389.807,8603.811162,
390.023,8987.190354,
390.239,8728.695848,
390.456,8810.037794,
390.672,8761.508714,
390.888,8701.542782,
391.104,8889.416792,
391.321,8741.035982,
391.537,8863.246362,
391.753,8374.157534,
391.969,8429.932776,
392.185,8254.545072,
392.401,8050.047592,
392.618,7509.99778,
392.834,7082.619586,
393.05,7071.835148,
393.266,6517.29018,
393.482,6175.344118,
393.698,5430.554082,
393.914,4801.496604,
394.13,4393.112594,
394.346,3725.717558,
394.562,3226.91759,
394.778,2888.796972,
394.994,2774.520042,
395.21,2707.436574,
395.426,2639.040836,
395.642,2491.184268,
395.858,2501.951304,
396.073,2289.094394,
396.289,2226.331936,
396.505,2174.906474,
396.721,2034.069826,
396.937,1943.264338,
397.153,1768.850006,
397.369,1811.46238,
397.584,1782.452046,
397.8,1779.122408,
398.016,1704.725656,
398.232,1775.474438,
398.447,1691.256808,
398.663,1660.615122,
398.879,1651.187654,
399.094,1670.824116,
399.31,1628.438462,
399.526,1602.17768,
