wavelength_nm,intensity_mean,
437.046,1119.915696,
437.259,1153.084558,
437.473,1196.527004,
437.686,1208.236772,
437.899,1144.04896,
438.112,1249.672728,
438.325,1155.666408,
438.538,1187.340096,
438.751,1214.476714,
438.964,1174.66062,
439.177,1140.612426,
439.39,1138.68087,
439.603,1157.109648,
439.816,1136.455058,
440.029,1185.985336,
440.242,1175.883214,
440.455,1145.20208,
440.668,1073.991948,
440.881,1057.623496,
441.094,998.578116,
441.306,1069.206764,
441.519,1038.673926,
441.732,1054.565528,
441.945,1064.375946,
442.158,974.854182,
442.37,956.8033,
442.583,960.915654,
442.796,988.931048,
443.009,1007.764614,
443.222,914.86195,
443.434,807.549272,
443.647,920.895622,
443.86,898.057296,
444.072,870.329982,
444.285,895.697082,
444.498,867.379566,
444.71,831.782282,
444.923,854.196556,
445.136,848.408956,
445.348,836.212746,
445.561,838.177586,
445.773,869.578718,
445.986,856.157034,
446.198,970.473102,
446.411,918.191226,
446.623,1007.359726,
446.836,996.305542,
447.048,1048.55575,
447.261,1180.530382,
447.473,1177.01323,
447.686,1147.830666,
447.898,1187.007514,
448.11,1272.593268,
448.323,1352.178496,
448.535,1303.87374,
448.748,1290.137284,
448.96,1272.768558,
449.172,1242.909922,
449.385,1247.354652,
449.597,1314.247046,
449.809,1309.528644,
450.021,1346.972408,
450.234,1390.026614,
450.446,1299.845914,
450.658,1330.008984,
450.87,1333.29667,
451.083,1407.64821,
451.295,1436.111328,
451.507,1393.506994,
451.719,1387.174124,
451.931,1446.844266,
452.143,1397.031434,
452.356,1364.317038,
452.568,1382.470376,
452.78,1363.455524,
452.992,1355.110042,
453.204,1466.609912,
453.416,1332.625052,
453.628,1352.735818,
453.84,1318.200616,
454.052,1281.84268,
454.264,1341.243128,
454.476,1350.423306,
454.688,1312.438386,
454.9,1309.239322,
455.112,1181.613928,
455.324,1117.539184,
455.536,1105.185766,
455.747,1058.460942,
455.959,1018.91456,
456.171,1025.051366,
456.383,973.77214,
456.595,928.91388,
456.807,913.021602,
457.018,862.55624,
457.23,901.279374,
457.442,892.53771,
457.654,840.845362,
457.865,829.899398,
458.077,781.264426,
458.289,807.989156,
458.501,834.332598,
458.712,863.328308,
458.924,912.02978,
459.136,807.691208,
459.347,788.95372,
459.559,743.935836,
459.77,834.861296,
459.982,852.410672,
460.194,823.842068,
460.405,758.120988,
460.617,780.795278,
460.828,791.336464,
461.04,796.886208,
461.251,798.574266,
461.463,812.588272,
461.674,812.90689,
461.886,787.146954,
462.097,727.99537,
462.309,786.086502,
462.52,785.99134,
462.731,809.135922,
462.943,780.312094,
463.154,724.21469,
463.366,780.32751,
463.577,823.72118,
463.788,815.836158,
464,794.411816,
464.211,874.276984,
464.422,841.921982,
464.634,879.176054,
464.845,901.673034,
465.056,920.017028,
465.267,953.471804,
465.478,888.536562,
465.69,915.810972,
465.901,887.34762,
466.112,921.570398,
466.323,951.736378,
466.534,944.583724,
466.745,976.072174,
466.957,984.72699,
467.168,1003.66642,
467.379,951.31198,
467.59,967.965006,
467.801,1014.00445,
468.012,977.919164,
468.223,1058.189096,
468.434,1017.156538,
468.645,1068.403172,
468.856,1086.52766,
469.067,1080.487702,
