wavelength,intensity
392.2655405,30.3205455
392.4575615,20.34501975
392.6495824,17.51076721
392.8416034,36.12839362
393.0336244,51.18784165
393.2256454,32.74643865
393.4176664,-9.07044144
393.6096874,-8.842808773
393.8017084,48.79897456
393.9937294,110.8743453
394.1857503,121.2526482
394.3777713,78.19617253
394.5697923,44.08871347
394.7618133,28.51161942
394.9538343,14.36604543
395.1458553,57.96989429
395.3378763,34.45000403
395.5298972,45.50314895
395.7219182,17.96793536
395.9139392,3.060347119
396.1059602,55.41304085
396.2979812,77.43897094
396.4900022,-4.448711684
396.6820232,92.09447592
396.8740442,25.58801001
397.0660651,62.04208793
397.2580861,58.35067541
397.4501071,55.33280325
397.6421281,62.75112506
397.8341491,51.34550913
398.0261701,18.36127094
398.2181911,51.86437646
398.410212,0.686704281
398.602233,32.93256519
398.794254,36.33594715
398.986275,39.30795969
399.178296,18.78996034
399.370317,2.890129468
399.562338,53.54843916
399.754359,72.80044305
399.9463799,27.66895206
400.1384009,40.85472221
400.3304219,47.94484901
400.5224429,7.975185059
400.7144639,-8.633039013
400.9064849,40.46468305
401.0985059,92.37336914
401.2905268,57.96199215
401.4825478,40.50415488
401.6745688,51.1268347
401.8665898,48.50159752
402.0586108,7.63789902
402.2506318,27.40485816
402.4426528,91.90796046
402.6346738,87.36712005
402.8266947,121.1387032
403.0187157,78.67215631
403.2107367,51.1483286
403.4027577,75.85059107
403.5947787,35.76132854
403.7867997,8.844696803
403.9788207,31.45957423
404.1708416,22.91702574
404.3628626,-19.05759316
404.5548836,36.31901446
404.7469046,135.0210487
404.9389256,85.15465489
405.1309466,-14.82966911
405.3229676,-3.462339384
405.5149886,86.84312633
405.7070095,98.91957006
405.8990305,52.79172725
406.0910515,27.66387743
406.2830725,66.22414476
406.4750935,123.6123043
406.6671145,80.45217144
406.8591355,31.37475146
407.0511564,26.75656249
407.2431774,38.53613057
407.4351984,76.48900622
407.6272194,35.50580341
407.8192404,23.04594462
408.0112614,112.3561919
408.2032824,116.1774965
408.3953034,88.41632839
408.5873243,56.259244
408.7793453,10.81831848
408.9713663,2.863999526
409.1633873,18.91506962
409.3554083,11.43150567
409.5474293,39.97831633
409.7394503,90.3160192
409.9314712,61.73201616
410.1234922,-19.62564516
410.3155132,-36.1535913
410.5075342,59.76873861
410.6995552,107.3091342
410.8915762,76.86391881
411.0835972,11.67943682
411.2756182,51.60200674
411.4676391,72.38889212
411.6596601,48.56023243
411.8516811,32.72122629
412.0437021,43.02382825
412.2357231,15.93663521
412.4277441,31.54880322
412.6197651,-8.147065198
412.811786,52.37632546
413.003807,104.1394121
413.195828,85.48180127
413.387849,40.79744072
413.57987,39.37409826
413.771891,46.42903243
413.963912,-35.40425482
414.155933,8.199215842
414.3479539,24.69983724
414.5399749,64.89858591
414.7319959,73.92970469
414.9240169,33.47522889
415.1160379,12.83435536
415.3080589,83.16193211
415.5000799,96.10784894
415.6921008,51.48932638
415.8841218,14.94284194
416.0761428,44.32936457
416.2681638,49.30699466
416.4601848,28.3661849
416.6522058,15.15976377
416.8442268,15.39262615
417.0362478,50.8010148
417.2282687,72.1390179
417.4202897,79.39105527
417.6123107,38.59439475
417.8043317,46.06299502
417.9963527,75.60650914
418.1883737,81.77238223
418.3803947,71.9674441
418.5724156,81.68726225
418.7644366,72.00410838
418.9564576,137.751563
419.1484786,-4.192628686
419.3404996,19.21630566
419.5325206,22.81534102
419.7245416,8.939153727
419.9165626,69.33769853
420.1085835,123.8515398
420.3006045,89.82064788
420.4926255,73.11201499
420.6846465,110.6318128
420.8766675,36.21351758
421.0686885,81.68602422
421.2607095,100.2302118
421.4527304,19.43677772
421.6447514,-19.74811811
421.8367724,26.58608577
422.0287934,-8.060360881
422.2208144,-5.607964848
422.4128354,60.4523975
422.6048564,74.5522568
422.7968774,65.33790777
422.9888983,15.27709244
423.1809193,-31.12807201
423.3729403,34.52340006
423.5649613,62.78030793
423.7569823,85.06400793
423.9490033,26.09132376
424.1410243,38.23123826
424.3330452,-15.29409728
424.5250662,-6.307360699
424.7170872,58.12179011
424.9091082,60.83717073
425.1011292,66.14415462
425.2931502,27.31941842
425.4851712,-12.10318599
425.6771922,27.23112442
425.8692131,107.9315305
426.0612341,121.0610799
426.2532551,69.09600969
426.4452761,34.07667007
426.6372971,66.40360426
426.8293181,117.1659068
427.0213391,144.4532501
427.21336,29.15281225
427.405381,64.52204143
427.597402,90.73515816
427.789423,56.54723262
427.981444,51.85928702
428.173465,82.01215372
428.365486,16.48985601
428.557507,19.80627745
428.7495279,19.18318787
428.9415489,87.19350336
429.1335699,115.7170957
429.3255909,95.06618512
429.5176119,52.29367409
429.7096329,21.41918211
429.9016539,24.78321564
430.0936748,61.09824838
430.2856958,93.58991874
430.4777168,79.16108955
430.6697378,69.4860042
430.8617588,17.30440091
431.0537798,8.550885833
431.2458008,53.18279249
