Created as New Dataset,Sample 001 By Administrator Date Tuesday, October 14 2025
cm-1,%T
3329.00,99.98
3328.00,99.98
3327.00,99.99
3326.00,99.99
3325.00,99.99
3324.00,99.99
3323.00,99.99
3322.00,99.99
3321.00,100.00
3320.00,100.00
3319.00,100.00
3318.00,99.99
3317.00,99.98
3316.00,99.97
3315.00,99.97
3314.00,99.97
3313.00,99.98
3312.00,99.99
3311.00,99.99
3310.00,99.99
3309.00,99.98
3308.00,99.97
3307.00,99.97
3306.00,99.98
3305.00,99.99
3304.00,99.99
3303.00,99.99
3302.00,99.99
3301.00,99.98
3300.00,99.98
3299.00,99.98
3298.00,99.98
3297.00,99.98
3296.00,99.98
3295.00,99.98
3294.00,99.98
3293.00,99.99
3292.00,99.99
3291.00,100.00
3290.00,100.00
3289.00,100.00
3288.00,100.00
3287.00,100.00
3286.00,99.99
3285.00,99.99
3284.00,99.99
3283.00,99.99
3282.00,99.99
3281.00,99.99
3280.00,99.99
3279.00,99.99
3278.00,99.98
3277.00,99.98
3276.00,99.98
3275.00,99.98
3274.00,99.99
3273.00,99.99
3272.00,99.99
3271.00,100.00
3270.00,100.00
3269.00,100.00
3268.00,100.00
3267.00,100.00
3266.00,100.00
3265.00,100.00
3264.00,100.00
3263.00,100.00
3262.00,99.99
3261.00,99.99
3260.00,99.98
3259.00,99.99
3258.00,99.99
3257.00,99.99
3256.00,99.99
3255.00,99.98
3254.00,99.98
3253.00,99.98
3252.00,99.98
3251.00,99.98
3250.00,99.97
3249.00,99.98
3248.00,99.98
3247.00,99.98
3246.00,99.97
3245.00,99.97
3244.00,99.97
3243.00,99.97
3242.00,99.97
3241.00,99.97
3240.00,99.98
3239.00,99.98
3238.00,99.99
3237.00,99.99
3236.00,99.99
3235.00,99.99
3234.00,99.98
3233.00,99.98
3232.00,99.98
3231.00,99.98
3230.00,99.98
3229.00,99.99
3228.00,100.00
3227.00,100.00
3226.00,100.00
3225.00,100.00
3224.00,99.99
3223.00,99.99
3222.00,99.98
3221.00,99.97
3220.00,99.97
3219.00,99.97
3218.00,99.97
3217.00,99.98
3216.00,99.99
3215.00,99.99
3214.00,99.99
3213.00,99.99
3212.00,99.99
3211.00,99.99
3210.00,99.99
3209.00,99.99
3208.00,99.99
3207.00,99.99
3206.00,99.99
3205.00,99.99
3204.00,99.99
3203.00,99.99
3202.00,99.99
3201.00,99.99
3200.00,99.99
3199.00,99.99
3198.00,99.99
3197.00,99.99
3196.00,99.99
3195.00,99.99
3194.00,99.99
3193.00,99.98
3192.00,99.99
3191.00,99.99
3190.00,99.98
3189.00,99.98
3188.00,99.98
3187.00,99.97
3186.00,99.97
3185.00,99.98
3184.00,99.98
3183.00,99.99
3182.00,99.99
3181.00,99.99
3180.00,99.99
3179.00,99.99
3178.00,99.99
3177.00,100.00
3176.00,100.00
3175.00,100.00
3174.00,100.00
3173.00,100.00
3172.00,100.00
3171.00,100.01
3170.00,100.00
3169.00,100.00
3168.00,100.00
3167.00,99.99
3166.00,99.99
3165.00,99.99
3164.00,99.99
3163.00,99.99
3162.00,99.99
3161.00,99.99
3160.00,99.99
3159.00,99.99
3158.00,99.99
3157.00,99.99
3156.00,99.99
3155.00,99.98
3154.00,99.98
3153.00,99.98
3152.00,99.99
3151.00,99.99
3150.00,99.99
3149.00,99.99
3148.00,99.98
3147.00,99.98
3146.00,99.98
3145.00,99.98
3144.00,99.98
3143.00,99.99
3142.00,99.99
3141.00,99.99
3140.00,99.99
3139.00,99.99
3138.00,99.99
3137.00,99.99
3136.00,99.99
3135.00,100.00
3134.00,100.00
3133.00,100.00
3132.00,100.00
3131.00,99.99
3130.00,99.99
3129.00,99.98
3128.00,99.98
3127.00,99.98
3126.00,99.99
3125.00,99.99
3124.00,99.99
3123.00,99.99
3122.00,99.99
3121.00,99.99
3120.00,99.99
3119.00,99.99
3118.00,99.99
3117.00,99.99
3116.00,99.99
3115.00,99.99
3114.00,99.99
3113.00,99.98
3112.00,99.98
3111.00,99.98
3110.00,99.98
3109.00,99.98
3108.00,99.98
3107.00,99.99
3106.00,99.99
3105.00,99.98
3104.00,99.98
3103.00,99.99
3102.00,100.00
3101.00,100.00
3100.00,100.00
3099.00,100.00
3098.00,99.99
3097.00,99.99
3096.00,99.98
3095.00,99.99
3094.00,99.99
3093.00,99.99
3092.00,99.99
3091.00,99.99
3090.00,99.99
3089.00,99.99
3088.00,100.00
3087.00,100.00
3086.00,100.00
3085.00,100.00
3084.00,100.00
3083.00,100.00
3082.00,99.99
3081.00,99.99
3080.00,99.99
3079.00,99.99
3078.00,99.98
3077.00,99.98
3076.00,99.98
3075.00,99.98
3074.00,99.99
3073.00,100.00
3072.00,100.00
3071.00,100.00
3070.00,99.99
3069.00,99.98
3068.00,99.98
3067.00,99.97
3066.00,99.97
3065.00,99.97
3064.00,99.97
3063.00,99.98
3062.00,99.99
3061.00,99.99
3060.00,100.00
3059.00,100.00
3058.00,100.00
3057.00,100.00
3056.00,99.99
3055.00,99.99
3054.00,99.99
3053.00,100.00
3052.00,100.00
3051.00,100.00
3050.00,99.99
3049.00,99.99
3048.00,99.99
3047.00,100.00
3046.00,100.00
3045.00,100.01
3044.00,100.01
3043.00,100.00
