Wavelength,Flux
510.277,12.92708
510.486,105.88293
510.696,-55.75144
510.906,74.82245
511.116,7.45413
511.326,67.93946
511.535,7.89974
511.745,-70.75429
511.955,-9.95503
512.165,6.53269
512.374,17.05887
512.584,45.56617
512.794,45.54811
513.003,83.68997
513.213,67.07143
513.422,-31.0643
513.632,63.06838
513.841,34.48336
514.051,40.39857
514.261,106.43994
514.47,0.11448
514.68,21.66391
514.889,42.62289
515.098,42.32794
515.308,15.6952
515.517,71.48389
515.727,19.80413
515.936,56.48918
516.145,-15.9043
516.355,70.23361
516.564,91.31096
516.773,51.81672
516.983,65.09612
517.192,43.61082
517.401,17.08434
517.61,18.42943
517.82,49.09668
518.029,-15.93171
518.238,98.34769
518.447,52.91774
518.656,64.10233
518.865,19.79179
519.074,-33.30073
519.284,28.01621
519.493,65.52268
519.702,99.08844
519.911,88.17724
520.12,42.7763
520.329,-4.46777
520.538,56.4141
520.747,27.15689
520.956,93.33257
521.165,70.30001
521.373,82.34706
521.582,23.45306
521.791,-14.96665
522,77.19619
522.209,18.87685
522.418,77.09898
522.627,-45.2112
522.835,69.88605
523.044,35.3799
523.253,34.45637
523.462,-20.46676
523.67,74.71718
523.879,22.55047
524.088,17.04292
524.296,-22.79349
524.505,78.38601
524.713,22.08932
524.922,65.10626
525.131,43.19386
525.339,132.18188
525.548,98.73193
525.756,-20.95199
525.965,84.8512
526.173,48.21577
526.382,97.67018
526.59,33.49679
526.799,26.2139
527.007,-30.10193
527.215,54.18689
527.424,18.45691
527.632,104.07908
527.841,0.57243
528.049,-15.86989
528.257,-23.68058
528.466,48.63928
528.674,2.40281
528.882,54.58917
529.09,24.39266
529.299,40.46511
529.507,137.84599
529.715,-27.39662
529.923,34.85977
530.131,92.74193
530.339,21.60814
530.547,33.5516
530.756,30.34934
530.964,68.77957
531.172,-73.99324
531.38,42.63938
531.588,67.48172
531.796,12.94527
532.004,65.57366
532.212,5.15791
532.42,16.61145
532.628,18.42943
532.836,51.85711
533.043,6.52858
533.251,50.07806
533.459,47.70587
533.667,36.83411
533.875,112.42172
534.083,-44.27069
534.29,26.69037
534.498,83.4269
534.706,85.52407
534.914,9.73355
535.121,34.91127
535.329,71.11563
535.537,35.40208
535.744,28.52229
535.952,33.08347
536.16,15.71748
536.367,59.70829
536.575,-28.72331
536.783,68.9418
536.99,89.19194
537.198,5.61194
537.405,151.68261
537.613,-62.9928
537.82,111.11915
538.028,-19.55174
538.235,88.86334
538.442,32.70551
538.65,136.45025
538.857,72.4768
539.065,21.18727
539.272,43.07964
539.479,35.83201
539.687,78.52121
539.894,2.86562
540.101,52.80513
540.309,12.49892
540.516,-12.72877
540.723,134.58633
540.93,62.50507
541.137,52.44236
541.345,50.52017
541.552,118.83559
541.759,18.91681
541.966,68.7903
542.173,108.93805
542.38,40.49066
542.587,-63.45551
542.794,98.61553
543.001,-35.16853
543.209,75.79758
543.416,91.46235
543.622,22.59837
543.829,15.21802
544.036,47.83705
544.243,12.0432
544.45,-27.83348
544.657,20.72285
544.864,18.87392
545.071,-30.51729
545.278,79.8572
545.485,-15.9043
545.691,9.2763
545.898,68.45104
546.105,39.51451
546.312,21.63337
546.518,67.49232
546.725,66.44677
546.932,-14.97591
547.139,25.3005
547.345,40.43967
547.552,43.57011
547.758,32.63858
547.965,-38.74608
548.172,21.13628
548.378,55.6084
548.585,116.98734
548.791,-46.97462
548.998,35.82921
549.204,-14.51066
549.411,68.73677
549.617,66.41586
549.824,76.61131
550.03,117.20664
550.237,59.58246
550.443,90.40292
550.649,129.27021
550.856,72.04193
551.062,84.47333
551.268,76.18967
551.475,155.56792
551.681,128.34998
551.887,103.79696
552.094,187.48093
552.3,231.70884
552.506,264.43723
552.712,331.9027
552.918,485.48662
553.125,605.30842
553.331,851.78551
553.537,1054.37351
553.743,1113.33725
553.949,1345.1361
