CENTRALWAVELNG,BANDWIDTH,FLAM
1.96092,,3.41618267770813e-14
1.97951,,3.54215180419401e-14
1.99799,,3.7975576689653355e-14
2.01638,,4.2622749441084175e-14
2.03465,,4.7117525954889844e-14
2.05282,,4.956207576222241e-14
2.0709,,5.3940383523756406e-14
2.08887,,5.5779363126813074e-14
2.10674,,5.939076012928537e-14
2.12451,,5.96266141383822e-14
2.14218,,5.99332622110636e-14
2.15975,,5.895770980047735e-14
2.17722,,5.667884846558596e-14
2.19459,,5.4331544679067226e-14
2.21186,,5.148442832490737e-14
2.22904,,5.070666469110708e-14
2.24612,,4.859804889969104e-14
2.26312,,4.696594689319751e-14
2.28002,,4.405221917951826e-14
2.29683,,3.912476715100163e-14
2.31354,,3.6517545309966206e-14
2.33016,,3.4254230113451206e-14
2.34669,,3.4873544695710405e-14
2.36313,,3.45018732226232e-14
2.37948,,3.3520476422859026e-14
2.39573,,3.3462946081125966e-14
2.4119,,3.3524211458121016e-14
2.42798,,3.29614844606821e-14
2.44398,,3.171959371617815e-14
2.45989,,2.9549198978938944e-14
2.47571,,2.7727110836229303e-14
2.49144,,2.548801615888358e-14
2.50708,,2.3089905718077976e-14
2.52264,,2.0867260030721577e-14
2.53812,,1.9472260684766425e-14
2.55352,,1.8542119252858306e-14
2.56884,,1.8402309009286704e-14
2.58409,,1.8312505367509252e-14
2.59925,,1.8851651783043955e-14
2.61434,,2.044873007024529e-14
2.62935,,2.1235928347807685e-14
2.64429,,2.2481491031193443e-14
2.65916,,2.1418230569783906e-14
2.67395,,1.7444284221118574e-14
2.68867,,1.627737741290649e-14
2.70331,,1.6568813208797615e-14
2.71789,,1.6633898340264937e-14
2.73242,,1.7875882013709637e-14
2.74687,,1.8626359365811448e-14
2.76126,,1.7915325612134754e-14
2.77558,,1.733299076148775e-14
2.78983,,1.73793376765558e-14
2.80402,,1.7319998986808206e-14
2.81814,,1.7786358162932532e-14
2.83219,,1.8388689515268633e-14
2.84618,,1.8170731455537386e-14
2.86011,,1.840813089170418e-14
2.87398,,1.911855011074829e-14
2.88778,,1.9711484030214972e-14
2.90152,,2.0029166194553082e-14
2.91521,,2.0351553313552057e-14
2.92883,,2.0931311744156552e-14
2.94239,,2.087760958660103e-14
2.95589,,2.1160104680344216e-14
2.96933,,2.197604436205681e-14
2.98271,,2.281374312412886e-14
2.99604,,2.307412429084434e-14
3.0093,,2.2620843777116602e-14
3.02252,,2.3989517432022066e-14
3.03568,,2.46346821767367e-14
3.04878,,2.412616772132882e-14
3.06183,,2.4435902139634906e-14
3.07483,,2.4560397097374156e-14
3.08777,,2.408275607023615e-14
3.10067,,2.354954331051381e-14
3.11351,,2.3309309635630833e-14
3.1263,,2.27873262664854e-14
3.13904,,2.1684928656952436e-14
3.15173,,2.1058747944772794e-14
3.16438,,2.0484820389558992e-14
3.17697,,2.0046577785945677e-14
3.18951,,1.946326389455515e-14
3.20201,,1.8666605429045372e-14
3.21446,,1.9026783514036297e-14
3.22686,,1.9346786445118384e-14
3.23922,,2.026046051718421e-14
3.25153,,2.16843835305376e-14
3.26379,,2.270993862760712e-14
3.27601,,2.3693163253981887e-14
3.28818,,2.4373257702094825e-14
3.30031,,2.3989016313381688e-14
3.3124,,1.8881733924353608e-14
3.32445,,1.2069732039461256e-14
3.33645,,1.1672813306611988e-14
3.3484,,1.4652133354786523e-14
3.36032,,1.775557227537652e-14
3.37219,,1.9563170386039028e-14
3.38403,,2.0513204254785777e-14
3.39582,,2.113923013330529e-14
3.40757,,2.090510796121587e-14
3.41928,,2.0837761300436882e-14
3.43096,,2.1118189737959807e-14
3.4426,,2.130332566460803e-14
3.4542,,2.1103250975828325e-14
3.46577,,2.1314105295054687e-14
3.47729,,2.1144916816278524e-14
3.48877,,2.1261633427287808e-14
3.50022,,2.1340251217627623e-14
3.51163,,2.1560457539001146e-14
3.52301,,2.21939489204186e-14
3.53434,,2.2700465979740624e-14
3.54564,,2.3135780371182708e-14
3.5569,,2.3812352288383576e-14
3.56813,,2.404881947586912e-14
3.57932,,2.4382994428848037e-14
3.59048,,2.4572104167581808e-14
3.6016,,2.506394102264695e-14
3.61269,,2.5519503682187387e-14
3.62374,,2.6220556924268152e-14
3.63476,,2.651519022440719e-14
3.64575,,2.723196667884817e-14
3.6567,,2.7129701562431276e-14
3.66761,,2.7558627146971936e-14
3.67849,,2.8743763260785175e-14
3.68933,,2.867067218673806e-14
3.70015,,2.904358576088208e-14
3.71093,,2.9141538241171847e-14
3.72168,,2.9440709427995364e-14
3.73239,,2.930242936777825e-14
3.74308,,2.952905649669295e-14
3.75374,,2.9595141314244956e-14
3.76436,,3.00670351961559e-14
3.77496,,3.0361679459892216e-14
3.78552,,3.028003963113092e-14
3.79605,,3.0201904844597126e-14
3.80656,,3.079068705844191e-14
3.81703,,3.1016814753080335e-14
3.82747,,3.054029319213227e-14
3.83789,,3.0399783729753656e-14
3.84827,,3.0807407181227007e-14
3.85863,,3.124153289118455e-14
3.86896,,3.1075888425551716e-14
3.87926,,3.1071397751280494e-14
3.88953,,3.09085424080935e-14
3.89977,,3.172839827072276e-14
3.90998,,3.132742445994536e-14
3.92017,,3.083992933293547e-14
3.93032,,3.02390184897696e-14
3.94045,,2.9667970694931755e-14
3.95056,,2.9502879976797745e-14
3.96063,,3.00530880324383e-14
3.97068,,3.0407667582624326e-14
3.98071,,2.953665293043723e-14
3.9907,,3.016699550751226e-14
4.00067,,2.963708410647584e-14
4.01062,,2.940449810026254e-14
4.02054,,2.919826996714208e-14
4.03043,,2.834325200194332e-14
4.0403,,2.9016487808495717e-14
4.05014,,2.8404273584154282e-14
4.05996,,2.8032474886527635e-14
4.06976,,2.7436797229083768e-14
4.07953,,2.6778303657338358e-14
4.08927,,2.7352990707483513e-14
4.09899,,2.6530507096866186e-14
4.10869,,2.585606206247958e-14
4.11836,,2.5825835892436308e-14
4.12802,,2.5444836440877135e-14
4.13765,,2.499053823290735e-14
4.14725,,2.4598436206551343e-14
4.15684,,2.3947467869842463e-14
4.1664,,2.328035913445635e-14
4.17593,,2.2512191705903942e-14
4.18545,,2.1497338803174486e-14
4.19494,,2.0625867436993827e-14
4.20441,,1.962569900046181e-14
4.21385,,1.836511523045181e-14
4.22328,,1.7218394210300286e-14
4.23268,,1.6875426750202505e-14
4.24206,,1.6291480743473677e-14
4.25142,,1.5861762270386e-14
4.26076,,1.5889924149986698e-14
4.27007,,1.5776940629181567e-14
4.27936,,1.5823052630458903e-14
4.28864,,1.570204609506139e-14
4.29789,,1.5809579667382448e-14
4.30712,,1.5308697351945696e-14
4.31633,,1.5155064078302763e-14
4.32552,,1.5001430804659833e-14
4.33468,,1.48477975310169e-14
4.34383,,1.432641843756066e-14
4.35296,,1.4086838835554713e-14
4.36207,,1.397206350095203e-14
4.37116,,1.3432342391951212e-14
4.38023,,1.3313070461537179e-14
4.38928,,1.2855768936459901e-14
4.39831,,1.2353440609787047e-14
4.40733,,1.2353079193258218e-14
4.41632,,1.2124724764243921e-14
4.42529,,1.1602530064572364e-14
4.43425,,1.0955095543467048e-14
4.44318,,1.0739379692457682e-14
4.4521,,1.0304402191003835e-14
4.46099,,1.0042015349744022e-14
4.46987,,9.810853618062258e-15
4.47873,,9.205149827448693e-15
4.48757,,9.00812811664966e-15
4.49639,,8.88471478341275e-15
4.5052,,8.58837133441206e-15
4.51398,,8.264015193816019e-15
4.52275,,8.183676394686801e-15
4.53149,,7.888788562905907e-15
4.54022,,7.933864424391965e-15
4.54894,,7.697725307117817e-15
4.55763,,7.591039554159516e-15
4.56631,,7.468989075641262e-15
4.57497,,7.329213101617774e-15
4.58361,,7.490087597485712e-15
4.59223,,7.768122944889462e-15
4.60084,,8.029115375694967e-15
4.60942,,7.968566573053064e-15
4.61799,,7.878548293587141e-15
4.62654,,7.945726171300734e-15
4.63508,,8.165189688432662e-15
4.6436,,8.318045151438312e-15
4.6521,,8.764248432713726e-15
4.66058,,9.326908827809033e-15
4.66905,,9.91206722682319e-15
4.6775,,9.520108464524582e-15
4.68594,,9.128182387246035e-15
4.69436,,8.993900376818047e-15
4.70276,,8.920700774511413e-15
4.71114,,8.597318955145242e-15
4.71951,,8.305970326975299e-15
4.72787,,8.258213670130639e-15
4.73621,,8.071895182197946e-15
4.74453,,8.178705029100966e-15
4.75283,,7.999729785864915e-15
4.76112,,7.987604207640747e-15
4.7694,,7.971081810213594e-15
4.77766,,7.80781430925489e-15
4.7859,,7.552193242628801e-15
4.79413,,7.711628984722468e-15
4.80234,,8.041174068680545e-15
4.81054,,8.093171427453915e-15
4.81873,,8.144599506398044e-15
4.82689,,8.339436738816554e-15
4.83505,,8.353639497393608e-15
4.84318,,8.058306963940974e-15
4.85131,,8.078312519803165e-15
4.85942,,8.095040969881997e-15
4.86751,,8.154509165996497e-15
4.87559,,7.761662698283333e-15
4.88365,,8.276172369299795e-15
4.8917,,8.265886719126505e-15
4.89974,,8.249613946238564e-15
4.90776,,8.364148611285551e-15
4.91577,,8.374279930177242e-15
4.92376,,8.294813140080038e-15
4.93174,,8.078540642890746e-15
4.9397,,8.217952911296046e-15
4.94765,,8.326077111838035e-15
4.95559,,8.227576069245995e-15
4.96351,,8.409916933315481e-15
4.97142,,8.679479158922635e-15
4.97931,,9.130823463398318e-15
4.9872,,9.239337769585316e-15
4.99506,,9.16632244423992e-15
5.00292,,9.072414968255041e-15
5.01076,,8.972969541412096e-15
5.01858,,8.600184334257783e-15
5.0264,,8.610502574941329e-15
5.0342,,8.956834889552592e-15
5.04198,,9.191026901873112e-15
5.04976,,9.585843733256832e-15
5.05752,,9.690907821286342e-15
5.06527,,9.675453565712097e-15
5.073,,9.802691514881166e-15
5.08072,,9.457861245581582e-15
5.08843,,9.429275497608702e-15
5.09612,,9.950810863944642e-15
5.10381,,1.0000644096692342e-14
5.11147,,9.419406132152434e-15
5.11913,,9.673887603547358e-15
5.12677,,9.928369074942283e-15
5.13441,,9.350994376205349e-15
5.14202,,8.845616998923724e-15
5.14963,,8.668016034876205e-15
5.15723,,9.217798680557951e-15
5.16481,,9.476847968586786e-15
5.17238,,9.32260114091868e-15
5.17993,,9.682306184866624e-15
5.18748,,9.962230271430628e-15
5.19501,,9.762807394503378e-15
5.20253,,9.150019642677898e-15
5.21004,,8.816070088738535e-15
5.21754,,8.801270925652721e-15
5.22502,,9.192996946270802e-15
