x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014,x0015,y0015,x0016,y0016,x0017,y0017
347.796,-2.89139,347.796,-1.86538,347.796,19.02009,347.796,-22.85918,347.796,-14.64647,347.796,-6.3801,347.796,-8.95493,347.796,3.20818,347.796,-11.84721,347.796,-12.07114,347.796,75.65956,347.796,65.46887,347.796,83.97297,347.796,76.10892,347.796,23.60169,347.796,1.22287,347.796,7.43048,347.796,10.75168
348.015,10.98317,348.015,-45.09491,348.015,2.68557,348.015,10.05097,348.015,-11.95752,348.015,-2.01434,348.015,4.5877,348.015,-8.20744,348.015,-11.73362,348.015,-2.44334,348.015,-2.6893,348.015,-1.14088,348.015,-12.82428,348.015,-9.79405,348.015,3.29031,348.015,3.47831,348.015,-1.59828,348.015,1.7234466667
348.234,-22.37175,348.234,-7.90931,348.234,-6.04372,348.234,6.91889,348.234,20.71448,348.234,-0.22382,348.234,-7.38693,348.234,-3.39477,348.234,-7.81603,348.234,-11.3983,348.234,-7.0905,348.234,1.79273,348.234,-12.37879,348.234,0.86761,348.234,-17.03541,348.234,5.73896,348.234,44.65881,348.234,11.1207866667
348.453,39.96383,348.453,14.14185,348.453,4.81423,348.453,20.01673,348.453,-4.23643,348.453,7.94864,348.453,10.29923,348.453,14.62681,348.453,9.08665,348.453,14.79468,348.453,-20.7717,348.453,-26.06881,348.453,-31.70823,348.453,-16.68221,348.453,-72.31947,348.453,-1.03322,348.453,-24.14923,348.453,-32.50064
348.672,11.7647,348.672,-33.10087,348.672,16.89047,348.672,-11.54558,348.672,-11.17247,348.672,-2.46168,348.672,-15.55682,348.672,-10.33298,348.672,-7.14317,348.672,-12.40375,348.672,-33.00002,348.672,-7.00429,348.672,-28.3761,348.672,-11.12727,348.672,21.33917,348.672,-12.32179,348.672,23.21853,348.672,10.7453033333
348.891,3.04035,348.891,2.94709,348.891,13.76299,348.891,-2.36908,348.891,-14.31071,348.891,-10.6344,348.891,1.67876,348.891,0.18653,348.891,-0.31711,348.891,2.14507,348.891,52.56664,348.891,28.21033,348.891,30.30208,348.891,36.66325,348.891,-4.6067,348.891,-10.06046,348.891,-38.85072,348.891,-17.8392933333
349.11,-18.22312,349.11,0.70855,349.11,-45.56987,349.11,-12.43973,349.11,-10.94742,349.11,-17.3462,349.11,-4.58735,349.11,-6.52693,349.11,-0.65263,349.11,-8.37338,349.11,66.30974,349.11,55.14636,349.11,57.2373,349.11,71.81972,349.11,-7.99508,349.11,0.09405,349.11,-10.62923,349.11,-6.1767533333
349.329,120.98639,349.329,133.15255,349.329,136.12369,349.329,130.08826,349.329,124.88753,349.329,134.56388,349.329,137.3492,349.329,141.87942,349.329,142.93761,349.329,141.93511,349.329,-11.49043,349.329,-17.27811,349.329,-11.27547,349.329,14.87162,349.329,5.54502,349.329,-16.82947,349.329,6.29681,349.329,-1.6625466667
349.548,195.54776,349.548,183.22335,349.548,168.3903,349.548,210.18225,349.548,197.21534,349.548,184.18724,349.548,191.0819,349.548,201.71734,349.548,190.21089,349.548,193.88009,349.548,12.47999,349.548,-9.95521,349.548,27.63702,349.548,48.45015,349.548,-38.45928,349.548,-23.59614,349.548,-17.38972,349.548,-26.4817133333
349.767,177.49727,349.767,207.41917,349.767,180.37032,349.767,224.3587,349.767,180.27765,349.767,190.26634,349.767,183.59522,349.767,201.23342,349.767,205.28949,349.767,198.84397,349.767,5.13256,349.767,-11.40893,349.767,-10.6087,349.767,12.20357,349.767,36.01444,349.767,12.51136,349.767,-0.47046,349.767,16.0184466667
349.986,206.28537,349.986,193.96141,349.986,209.15714,349.986,233.13973,349.986,179.03618,349.986,209.2683,349.986,209.04598,349.986,221.01192,349.986,203.72833,349.986,208.39754,349.986,8.06168,349.986,-37.32444,349.986,-14.62302,349.986,2.65681,349.986,19.07201,349.986,-3.28953,349.986,-47.87584,349.986,-10.6977866667
350.205,217.76082,350.205,231.00238,350.205,230.63206,350.205,197.93394,350.205,223.87303,350.205,210.96186,350.205,220.18733,350.205,220.15029,350.205,209.75752,350.205,211.64738,350.205,-45.69433,350.205,-64.2042,350.205,-39.04773,350.205,-29.76355,350.205,-1.22282,350.205,9.12253,350.205,-17.40657,350.205,-3.1689533333
350.424,199.4874,350.424,180.48692,350.424,219.03151,350.424,228.56741,350.424,182.24845,350.424,209.36292,350.424,192.90811,350.424,207.99203,350.424,207.49183,350.424,203.15636,350.424,-39.85584,350.424,-36.34895,350.424,-10.83271,350.424,-12.67121,350.424,-14.76338,350.424,-5.54714,350.424,-10.62512,350.424,-10.31188
350.643,206.49372,350.643,186.3851,350.643,211.58825,350.643,252.22116,350.643,201.49098,350.643,195.24566,350.643,190.79717,350.643,217.21902,350.643,207.9388,350.643,216.71896,350.643,-39.3434,350.643,-93.10907,350.643,-23.03668,350.643,-38.20748,350.643,-38.48465,350.643,9.11971,350.643,38.99736,350.643,3.2108066667
