wavelength_nm,intensity,source_count
371.588,23.945555000000002,2
371.805,62.831285,2
372.022,41.96574,2
372.24,54.938824999999994,2
372.457,-25.0879,2
372.675,61.72571,2
372.892,60.585425,2
373.11,29.56749,2
373.327,66.400045,2
373.544,48.789514999999994,2
373.762,43.108405000000005,2
373.979,57.8133,2
374.196,86.61414500000001,2
374.414,58.31639,2
374.631,65.67773,2
374.848,19.44378,2
375.066,57.82101,2
375.283,12.68721,2
375.5,48.874089999999995,2
375.717,64.577355,2
375.935,54.400335,2
376.152,38.61414,2
376.369,76.26975,2
376.586,75.35307,2
376.803,34.068955,2
377.02,48.762085,2
377.238,101.26434,2
377.455,32.994865000000004,2
377.672,26.73224,2
377.889,22.264580000000002,2
378.106,11.003335,2
378.323,74.745255,2
378.54,15.502569999999999,2
378.757,41.908045,2
378.974,35.814575,2
379.191,35.79191,2
379.408,5.355549999999999,2
379.625,69.606485,2
379.842,26.79048,2
380.059,71.39229,2
380.276,74.744975,2
380.493,38.045395,2
380.71,87.113765,2
380.927,54.329575,2
381.143,22.787935,2
381.36,19.45751,2
381.577,23.938245000000002,2
381.794,52.12878499999999,2
382.011,81.43160499999999,2
382.228,29.56964,2
382.444,55.46889,2
382.661,67.96124,2
382.878,44.268950000000004,2
383.095,102.926265,2
383.311,110.73646500000001,2
383.528,45.936975,2
383.745,20.0231,2
383.962,66.826605,2
384.178,4.777430000000001,2
384.395,40.930015,2
384.612,42.007405,2
384.828,111.135185,2
385.045,61.17706,2
385.261,44.187084999999996,2
385.478,86.65744000000001,2
385.695,5.9033349999999984,2
385.911,38.055475,2
386.128,31.288149999999998,2
386.344,30.725245,2
386.561,42.050835,2
386.777,45.933955,2
386.994,70.82304500000001,2
387.21,52.052675,2
387.427,31.85761,2
387.643,0.828994999999999,2
387.86,34.6609,2
388.076,84.80884,2
388.292,38.04181,2
388.509,54.935495,2
388.725,79.779815,2
388.942,61.710955,2
389.158,48.2311,2
389.374,60.075190000000006,2
389.591,85.34302,2
389.807,62.85324,2
