wavelength_nm,intensity,source_count
380.059,6.457545,4
380.276,8.9392175,4
380.493,3.1965325,4
380.71,3.7716899999999995,4
380.927,3.715415,4
381.143,9.1198575,4
381.36,0.9169075,4
381.577,4.8887075,4
381.794,8.589097500000001,4
382.011,1.3007825000000002,4
382.228,-1.959505,4
382.444,0.443135,4
382.661,2.102025,4
382.878,-2.0047575,4
383.095,7.4053675,4
383.311,4.086275,4
383.528,1.5829400000000002,4
383.745,4.1208775,4
383.962,4.5166175,4
384.178,5.813345,4
384.395,4.8885950000000005,4
384.612,14.241489999999999,4
384.828,0.3980225,4
385.045,10.222385000000001,4
385.261,6.52438,4
385.478,10.089265,4
385.695,3.8613525,4
385.911,4.875625,4
386.128,11.781115,4
386.344,9.422817499999999,4
386.561,11.37316,4
386.777,5.47229,4
386.994,7.41295,4
387.21,8.50712,4
387.427,13.3226625,4
387.643,6.476547500000001,4
387.86,16.0538875,4
388.076,9.99531,4
388.292,13.119995,4
388.509,13.3911525,4
388.725,15.997150000000001,4
388.942,13.342232500000001,4
389.158,18.88438,4
389.374,14.8300725,4
389.591,12.003020000000001,4
389.807,8.740392499999999,4
390.023,17.584014999999997,4
390.239,15.710852500000001,4
390.456,12.9469375,4
390.672,19.1380175,4
390.888,16.3528075,4
391.104,19.308775,4
391.321,13.442319999999999,4
391.537,12.134229999999999,4
391.753,7.927242500000001,4
391.969,11.274925,4
392.185,21.7676575,4
392.401,21.732037499999997,4
392.618,8.953175,4
392.834,11.922500000000001,4
393.05,19.409132500000002,4
393.266,14.5944625,4
393.482,16.500035,4
393.698,20.9371425,4
393.914,12.7034125,4
394.13,8.957624999999998,4
394.346,21.0505475,4
394.562,18.468532500000002,4
394.778,17.710387500000003,4
394.994,11.315685,4
395.21,11.124202499999999,4
395.426,9.8144075,4
395.642,11.86887,4
395.858,13.222819999999999,4
396.073,7.7524774999999995,4
396.289,14.408529999999999,4
396.505,9.795264999999999,4
396.721,9.343952499999999,4
396.937,10.743329999999998,4
397.153,6.7709174999999995,4
397.369,8.384895,4
397.584,11.8823875,4
397.8,7.922454999999999,4
398.016,6.342475,4
398.232,7.8551025,4
398.447,0.10495999999999994,4
398.663,9.96622,4
398.879,8.757665,4
399.094,10.067544999999999,4
399.31,10.315035,4
399.526,2.1807425,4
399.741,13.472225000000002,4
399.957,4.8425625,4
400.173,5.203634999999999,4
400.388,2.2361775,4
400.604,5.632775,4
400.82,7.516995,4
401.035,4.989364999999999,4
401.251,8.126515,4
401.466,6.5128924999999995,4
401.682,10.25949,4
401.897,16.1931925,4
402.113,5.350632499999999,4
402.328,7.6960749999999996,4
402.544,7.7201450000000005,4
402.759,8.463715,4
402.974,11.658180000000002,4
403.19,11.465802499999999,4
403.405,9.390514999999999,4
403.621,7.6170975,4
403.836,10.022265,4
404.051,12.153705000000002,4
404.267,13.28285,4
404.482,2.6876650000000004,4
404.697,13.9834025,4
404.913,6.615107500000001,4
405.128,7.675795,4
405.343,7.607525,4
405.559,7.866125,4
405.774,8.2952775,4
405.989,5.170190000000001,4
406.204,5.339245,4
406.42,4.797767500000001,4
406.635,14.036737500000001,4
406.85,9.3118125,4
407.065,1.7972024999999998,4
407.28,3.5458775,4
407.495,4.943112500000001,4
407.71,8.644855000000002,4
407.926,3.4325825000000005,4
408.141,13.823635,4
408.356,12.68474,4
408.571,3.3645725,4
408.786,10.009495,4
409.001,6.208372499999999,4
409.216,9.0944875,4
409.431,11.3063725,4
409.646,9.81678,4
409.861,11.02527,4
410.076,8.5424275,4
410.291,10.856135,4
410.506,11.395865,4
410.721,9.0614525,4
410.936,7.662405000000001,4
411.15,17.37631,4
411.365,18.378525,4
411.58,13.3939925,4
411.795,6.5340324999999995,4
412.01,16.640265,4
412.225,17.0572625,4
412.439,13.4486725,4
412.654,7.1419999999999995,4
412.869,12.388795000000002,4
413.084,18.186685,4
413.299,14.619725,4
413.513,15.6142675,4
413.728,17.839199999999998,4
413.943,8.34985,4
414.157,14.89229,4
414.372,8.202885,4
414.587,12.5927525,4
414.801,17.72343,4
415.016,11.858765,4
415.231,10.76171,4
415.445,16.395802500000002,4
415.66,11.8472475,4
415.874,7.491975,4
