CENTRALWAVELNG,BANDWIDTH
0.76203,0.00045
0.76249,0.00045
0.76294,0.00045
0.76339,0.00045
0.76384,0.00045
0.76429,0.00045
0.76475,0.00045
0.7652,0.00045
0.76565,0.00045
0.7661,0.00045
0.76656,0.00045
0.76701,0.00045
0.76746,0.00045
0.76792,0.00045
0.76837,0.00045
0.76882,0.00045
0.76927,0.00045
0.76973,0.00045
0.77018,0.00045
0.77063,0.00045
0.77109,0.00045
0.77154,0.00045
0.772,0.00045
0.77245,0.00045
0.7729,0.00045
0.77336,0.00045
0.77381,0.00045
0.77427,0.00045
0.77472,0.00045
0.77517,0.00045
0.77563,0.00045
0.77608,0.00045
0.77654,0.00045
0.77699,0.00045
0.77745,0.00045
0.7779,0.00045
0.77836,0.00045
0.77881,0.00046
0.77927,0.00046
0.77972,0.00046
0.78018,0.00046
0.78063,0.00046
0.78109,0.00046
0.78154,0.00046
0.782,0.00046
0.78246,0.00046
0.78291,0.00046
0.78337,0.00046
0.78382,0.00046
0.78428,0.00046
0.78473,0.00046
0.78519,0.00046
0.78565,0.00046
0.7861,0.00046
0.78656,0.00046
0.78702,0.00046
0.78747,0.00046
0.78793,0.00046
0.78839,0.00046
0.78884,0.00046
0.7893,0.00046
0.78976,0.00046
0.79021,0.00046
0.79067,0.00046
0.79113,0.00046
0.79159,0.00046
0.79204,0.00046
0.7925,0.00046
0.79296,0.00046
0.79342,0.00046
0.79387,0.00046
0.79433,0.00046
0.79479,0.00046
0.79525,0.00046
0.79571,0.00046
0.79616,0.00046
0.79662,0.00046
0.79708,0.00046
0.79754,0.00046
0.798,0.00046
0.79846,0.00046
0.79891,0.00046
0.79937,0.00046
0.79983,0.00046
0.80029,0.00046
0.80075,0.00046
0.80121,0.00046
0.80167,0.00046
0.80213,0.00046
0.80259,0.00046
0.80304,0.00046
0.8035,0.00046
0.80396,0.00046
0.80442,0.00046
0.80488,0.00046
0.80534,0.00046
0.8058,0.00046
0.80626,0.00046
0.80672,0.00046
0.80718,0.00046
0.80764,0.00046
0.8081,0.00046
0.80856,0.00046
0.80902,0.00046
0.80948,0.00046
0.80994,0.00046
0.8104,0.00046
0.81086,0.00046
0.81132,0.00046
0.81179,0.00046
0.81225,0.00046
0.81271,0.00046
0.81317,0.00046
0.81363,0.00046
0.81409,0.00046
0.81455,0.00046
0.81501,0.00046
0.81547,0.00046
0.81593,0.00046
0.8164,0.00046
0.81686,0.00046
0.81732,0.00046
0.81778,0.00046
0.81824,0.00046
0.8187,0.00046
0.81917,0.00046
0.81963,0.00046
0.82009,0.00046
0.82055,0.00046
0.82101,0.00046
0.82148,0.00046
0.82194,0.00046
0.8224,0.00046
0.82286,0.00046
0.82333,0.00046
0.82379,0.00046
0.82425,0.00046
0.82471,0.00046
0.82518,0.00046
0.82564,0.00046
0.8261,0.00046
0.82657,0.00046
0.82703,0.00046
0.82749,0.00046
0.82796,0.00046
0.82842,0.00046
0.82888,0.00046
0.82935,0.00046
0.82981,0.00046
0.83027,0.00046
0.83074,0.00046
0.8312,0.00046
0.83166,0.00046
0.83213,0.00046
0.83259,0.00046
0.83305,0.00046
0.83352,0.00046
0.83398,0.00046
0.83445,0.00046
