CENTRALWAVELNG,FLAM
1.01129,3.115108407680945e-17
1.01154,2.83952860614311e-17
1.01179,1.9827016839214605e-17
1.01203,1.6405516511062206e-17
1.01228,2.3675489859548458e-17
1.01253,2.54944323520223e-17
1.01277,2.2607734746880482e-17
1.01302,2.5558445905613924e-17
1.01327,2.885203202682937e-17
1.01351,2.6953588217247213e-17
1.01376,2.699562584230534e-17
1.01401,1.528689982693239e-17
1.01425,1.7361444295194053e-17
1.0145,2.374363764319043e-17
1.01475,2.0015732412788134e-17
1.01499,1.9073714557661193e-17
1.01524,2.86608137657802e-17
1.01549,3.4865252609104706e-17
1.01573,2.564793188873099e-17
1.01598,1.6164699067581492e-17
1.01623,1.5685179167007517e-17
1.01647,2.2849805221842954e-17
1.01672,2.622037290483912e-17
1.01697,2.0582627597975416e-17
1.01721,2.2485862500065203e-17
1.01746,2.5463397464179386e-17
1.0177,2.1358422014763908e-17
1.01795,1.7421062744164028e-17
1.0182,7.470456125507567e-18
1.01844,4.444934185325743e-18
1.01869,1.3436762511299286e-17
1.01894,1.7265311661613468e-17
1.01918,2.5244282145246756e-17
1.01943,2.707908201661951e-17
1.01968,2.2400686139277502e-17
1.01992,2.1735059168384758e-17
1.02017,2.092437425606495e-17
1.02042,1.9308629416842917e-17
1.02066,2.591895903045977e-17
1.02091,1.9228873658558026e-17
1.02116,1.9632025980750784e-17
1.0214,3.0772738203566786e-17
1.02165,2.837637246733911e-17
1.0219,2.528525108879695e-17
1.02214,2.314670058901887e-17
1.02239,2.1408857649431036e-17
1.02264,1.7377813811581663e-17
1.02288,2.311142296688321e-17
1.02313,2.6903403406145522e-17
1.02338,2.940904113316076e-17
1.02362,2.6049186706165922e-17
1.02387,2.1461574397260944e-17
1.02412,2.6476466624759022e-17
1.02436,2.478067157323112e-17
1.02461,2.5265739101025562e-17
1.02486,3.472488439568526e-17
1.0251,3.5403276561818395e-17
1.02535,2.3977528314743436e-17
1.0256,1.673835451606048e-17
1.02584,1.4081306011560793e-17
1.02609,2.1510841599535836e-17
1.02634,2.2575439005189123e-17
1.02658,1.5263477046173754e-17
1.02683,2.1418840724194043e-17
1.02708,2.430222365515402e-17
1.02732,1.9073170020587147e-17
1.02757,2.196596841000408e-17
1.02782,2.452219146936726e-17
1.02806,2.973159991594998e-17
1.02831,2.336941680405926e-17
1.02856,1.0336365108331808e-17
1.0288,2.2251611433423855e-17
1.02905,3.449455328161888e-17
1.02929,3.053790236309208e-17
1.02954,2.2895385069027146e-17
1.02979,2.2586657383138042e-17
1.03003,2.1623795978020658e-17
1.03028,2.1452632362014795e-17
1.03053,2.0779292540615453e-17
1.03077,2.419812082763286e-17
1.03102,3.0188784759725886e-17
1.03127,2.8407368087022e-17
1.03151,2.3112073677672302e-17
1.03176,1.5650657381752833e-17
1.03201,1.6980887969341422e-17
1.03225,2.149104152179151e-17
1.0325,2.061021679292967e-17
1.03275,2.1308711000369406e-17
1.03299,2.7392542310931382e-17
1.03324,3.288637265956057e-17
1.03349,3.206567119729235e-17
1.03373,2.813599010984629e-17
1.03398,2.373544190967755e-17
1.03423,2.5031394306397505e-17
1.03447,2.925620583087482e-17
1.03472,3.5629755447839196e-17
1.03497,2.4210590178193456e-17
1.03521,1.409947374020788e-17
1.03546,1.4891211152802107e-17
1.03571,1.818410974915351e-17
1.03595,2.228816865568949e-17
1.0362,2.104734184101586e-17
1.03645,2.4095099109215755e-17
1.03669,2.2346393486502595e-17
1.03694,2.5366996825312848e-17
1.03719,2.7716514571182973e-17
1.03743,2.6380659477015734e-17
1.03768,3.098261642291921e-17
1.03793,2.907996930217357e-17
1.03817,2.6174530422919748e-17
1.03842,2.8165697429251104e-17
1.03867,2.3282632925760113e-17
1.03891,3.4240057467779745e-17
1.03916,3.188770937717926e-17
1.0394,2.533811643544179e-17
1.03965,2.8082154125472133e-17
1.0399,1.704973115346052e-17
1.04014,1.50872055184533e-17
1.04039,2.3220851980822777e-17
1.04064,2.900029850173702e-17
1.04088,3.9752084402808197e-17
1.04113,4.079803297493906e-17
1.04138,3.3078060859971167e-17
1.04162,2.628963382887612e-17
1.04187,2.5769105104162693e-17
1.04212,3.344649565080744e-17
1.04236,4.594091830042173e-17
1.04261,4.162885790726767e-17
1.04286,2.300109446440974e-17
1.0431,2.491699405004149e-17
1.04335,2.8937365987795116e-17
1.0436,2.96929738889938e-17
1.04384,2.3374969628624898e-17
1.04409,2.4668330995442863e-17
1.04434,2.7602315416317688e-17
1.04458,3.260608756565391e-17
1.04483,3.952638320731714e-17
1.04508,3.2056358161245065e-17
1.04532,3.1162577983417625e-17
1.04557,2.821215489833336e-17
1.04582,3.47645733494599e-17
1.04606,3.417420015928696e-17
1.04631,2.6118389664623407e-17
1.04656,1.9241009982441986e-17
1.0468,2.1799337709348e-17
1.04705,2.1965959619429023e-17
1.0473,2.357381319927528e-17
1.04754,2.4076889640078616e-17
1.04779,3.072519187322669e-17
1.04804,2.7836868439697406e-17
1.04828,2.4826575243287558e-17
1.04853,2.4961811112305405e-17
1.04878,2.1772736488211647e-17
1.04902,2.946538819876814e-17
