cm-1,A_sample_norm,A_NIST_norm
3920.0,0.001892802677417629,
3919.0,0.029501411738033802,
3918.0,0.04406395017228618,
3917.0,0.044117457689094565,
3916.0,0.03224027840112935,
3915.0,0.013810232694966732,
3914.0,0.0033438076947306865,
3913.0,0.003411501643528889,
3912.0,0.00997510846811633,
3911.0,0.00602299503632598,
3910.0,-0.004509995842631643,
3909.0,-0.01371923851779474,
3908.0,-0.020293203537768617,
3907.0,-0.036019904772081654,
3906.0,-0.0583393652274709,
3905.0,-0.07808370069135774,
3904.0,-0.07437832749990933,
3903.0,-0.060162892778251244,
3902.0,-0.04313490679595106,
3901.0,-0.0246295548552637,
3900.0,-0.008713458035031823,
3899.0,0.0005326880258466439,
3898.0,-0.004727296635850164,
3897.0,-0.0165133542207695,
3896.0,-0.020433984846830122,
3895.0,-0.017806699132677472,
3894.0,-0.02435420588139459,
3893.0,-0.04788423247199997,
3892.0,-0.07143939469944986,
3891.0,-0.07154341894908278,
3890.0,-0.054705335801988594,
3889.0,-0.033861771195841085,
3888.0,-0.020714944542099725,
3887.0,-0.010154308085435026,
3886.0,-0.00229520242228154,
3885.0,-0.004944153949984606,
3884.0,-0.010090892943211834,
3883.0,-0.0045752327268202666,
3882.0,0.019346752850582006,
3881.0,0.04042093660322465,
3880.0,0.02696507733539046,
3879.0,-0.01401006625765435,
3878.0,-0.04548891722261442,
3877.0,-0.04536626564369674,
3876.0,-0.01766402379682776,
3875.0,0.0033889323779583208,
3874.0,-0.006020379511608618,
3873.0,-0.044214127184743476,
3872.0,-0.08995148633578286,
3871.0,-0.10557318192641692,
3870.0,-0.08349065327931869,
3869.0,-0.06274369901372087,
3868.0,-0.06924317347480168,
3867.0,-0.08603454232801662,
3866.0,-0.07552575773920653,
3865.0,-0.045506424588748005,
3864.0,-0.033749587040951816,
3863.0,-0.045453891779820385,
3862.0,-0.054605923397966126,
3861.0,-0.04683359520073662,
3860.0,-0.028505269959318943,
3859.0,0.007041956257018127,
3858.0,0.06916914788718481,
3857.0,0.1342151326190815,
3856.0,0.16201238683205446,
3855.0,0.13916857270913252,
3854.0,0.1190792789220136,
3853.0,0.1294787953311775,
3852.0,0.12546527874162475,
3851.0,0.09252210875421595,
3850.0,0.05825391683300379,
3849.0,0.034466507984275876,
3848.0,0.014700592769769035,
3847.0,-0.0009592808619932136,
3846.0,-0.003456181355630118,
3845.0,-0.007313593392169232,
3844.0,-0.024373899769969128,
3843.0,-0.04277970685123101,
3842.0,-0.046781476344487136,
3841.0,-0.054605923397966126,
3840.0,-0.07941944094590961,
3839.0,-0.10945243058023583,
3838.0,-0.12119503032972047,
3837.0,-0.1094633972982197,
3836.0,-0.09641559119724807,
3835.0,-0.0925240419664812,
3834.0,-0.09384211642706594,
3833.0,-0.08600782755768982,
3832.0,-0.06641640960715255,
3831.0,-0.04157621438769455,
3830.0,-0.015364444970093087,
3829.0,0.004479099433736621,
3828.0,0.019104710209915866,
3827.0,0.02042276148860681,
3826.0,0.008334515378889854,
3825.0,-0.020755016171048,
3824.0,-0.06263361096120089,
3823.0,-0.09519704470055078,
3822.0,-0.09385467387398325,
3821.0,-0.06129460804133525,
3820.0,-0.03657354662284465,
3819.0,-0.03522734430465508,
3818.0,-0.03900991913419704,
3817.0,-0.01798983938435566,
3816.0,0.027882370221776344,
3815.0,0.05154621047728422,
3814.0,0.030642242746064485,
3813.0,-0.007313593392169232,
3812.0,-0.024413275485251934,
3811.0,-0.02327858190987304,
3810.0,-0.02863990599445788,
3809.0,-0.05215502841000028,
3808.0,-0.07042949630514975,
3807.0,-0.061373959711652104,
3806.0,-0.03668386931233515,
3805.0,-0.024884533083809616,
3804.0,-0.028601458160157137,
3803.0,-0.03240101522692233,
3802.0,-0.016697672799544785,
3801.0,0.008196332692415122,
3800.0,0.02008282997706599,
3799.0,0.013692140322425954,0.01451192864658086
3798.0,0.009835714376431652,0.014443850649197633
3797.0,0.011059164323579795,0.014373165294368904
3796.0,0.005680938878574978,0.014347916735877129
3795.0,-0.008756035478745755,0.014347916735877129
3794.0,-0.020454080034567737,0.014347916735877129
3793.0,-0.0177659555706116,0.014347916735877129
3792.0,-0.008564299935022153,0.014347916735877129
3791.0,-0.0033250947048325953,0.014347916735877129
3790.0,-0.0033250947048325953,0.014347916735877129
3789.0,-0.001965621774823008,0.0144397530081934
3788.0,0.01778679501622488,0.014521787686378212
3787.0,0.042877117821102734,0.014603868728091145
3786.0,0.057439849327418746,0.014711642503782254
3785.0,0.0468665063354977,0.014966426266115052
3784.0,0.01908053318154104,0.015131138564256602
3783.0,-0.002031618735023384,0.015296037879402022
3782.0,-0.0006497444892735337,0.015461124636718424
3781.0,0.0218387958377689,0.01565295322707897
3780.0,0.03899472282068386,0.015781912998506273
3779.0,0.03226581231812243,0.015824450193674004
3778.0,0.005817635492593631,0.015830734816480636
3777.0,-0.020433984846830122,0.015951554160235793
3776.0,-0.029586917301803604,0.016274102007981357
3775.0,-0.02439358963750968,0.016328391036696248
3774.0,-0.01401006625765435,0.01639651757747145
3773.0,-0.01138332119289874,0.01659172148402006
3772.0,-0.009985114688623474,0.016886163201257694
3771.0,-0.009985114688623474,0.01696959183805425
3770.0,-0.01665674237409858,0.017053068427870827
3769.0,-0.03243870975126121,0.017146664945806474
3768.0,-0.045471406286670624,0.017383147317048132
3767.0,-0.040157548338075735,0.017638266882593626
3766.0,-0.024432957314421574,0.017663872000889536
3765.0,-0.015343842645796864,0.017701383005366476
3764.0,-0.02067485656558932,0.01777673945497518
3763.0,-0.031127697826199403,0.017998099384694096
3762.0,-0.028428248743925442,0.018166288150759182
3761.0,-0.01396857033533598,0.018334671916317054
3760.0,-0.00612820889259425,0.01858900966375439
3759.0,-0.017949170623786124,0.01934036057087079
3758.0,-0.032419864411010656,0.019520443298916675
3757.0,-0.027290715478187542,0.01952225734219233
3756.0,-0.0011578017705709794,0.019574435845009775
3755.0,0.03818368953561409,0.019659807347601862
3754.0,0.08013331341683759,0.019690405321231928
3753.0,0.11137279520065894,0.019794639682648274
3752.0,0.1267772439915268,0.020017509934378935
3751.0,0.1267070118246566,0.020273402779410057
3750.0,0.1254214820791592,0.020712106155566897
3749.0,0.13066934853105075,0.021031904152118128
3748.0,0.13877950480683643,0.02132509843303538
3747.0,0.14208568919815615,0.02148073193416097
3746.0,0.14931416079959747,0.021712777894012512
3745.0,0.1706616062543595,0.021979739354574764
3744.0,0.18493499797394136,0.022289533837612445
3743.0,0.1528815133309749,0.022635201175411967
3742.0,0.09468926807366612,0.022932047190368565
3741.0,0.05769142258390395,0.023330622530296795
3740.0,0.04286579671831032,0.023518507349427044
3739.0,0.008542903428345504,0.023628610528378287
3738.0,-0.05016762219844254,0.023655456601594686
3737.0,-0.08782766903026282,0.023806022999792696
3736.0,-0.08778829081931387,0.024022275694544654
3735.0,-0.07993697432009507,0.024383110892641734
3734.0,-0.07855006565991224,0.02480907103751536
3733.0,-0.06285363040728574,0.02535554595342392
3732.0,-0.03148758387505865,0.025721939870455113
3731.0,-0.005290206599267828,0.025991424917773127
3730.0,-0.003891978925366498,0.026258072815808917
3729.0,-0.01167709728443912,0.026525211181948196
3728.0,-0.015590793344607072,0.026760062131965027
3727.0,-0.01167709728443912,0.026938046748276614
3726.0,-0.0077202756167982925,0.027247811830284706
3725.0,-0.004987472314768413,0.0275768262884342
3724.0,-0.0035434832389024604,0.028093374528741676
3723.0,0.00046595920407977776,0.02868509967255037
3722.0,0.0017585183259528302,0.02939629545350564
3721.0,0.0017361535995434592,0.030048714455273833
