cm-1,T_ref,A_ref,A_ref_norm
2977.503654,0.6153,0.2109130849119713,0.06730071388978667
2978.503654,0.6137,0.2120438767160681,0.0676788622733006
2979.503654,0.6117,0.21346151950219755,0.06815293656888077
2979.858581,0.6084,0.21581079461903915,0.06893855827629375
2980.858581,0.6044,0.2186755443330122,0.06989655997880533
2981.858581,0.6027,0.21989880853208837,0.07030563208015521
2982.858581,0.6022,0.22025924882325953,0.07042616701237338
2983.858581,0.5997,0.2220659511622206,0.0710303468149628
2984.213508,0.5962,0.22460802830338805,0.07188044349785128
2985.213508,0.5937,0.2264329510739413,0.0724907163997438
2986.213508,0.5917,0.2278984307229881,0.07298078783318707
2987.213508,0.59,0.22914798835785583,0.07339865272928978
2988.213508,0.5885,0.2302535328205465,0.07376835814274842
2988.568435,0.5864,0.23180603836692842,0.07428753192932325
2989.568435,0.5839,0.2336615247487127,0.07490802561645626
2990.568435,0.5808,0.23597339230796271,0.07568113785273298
2991.568435,0.5773,0.23859844250136897,0.0765589815757624
2992.568435,0.5741,0.24101245313238068,0.0773662515034319
2992.923362,0.571,0.243363891754152,0.07815259670909533
2993.923362,0.568,0.24565166428898116,0.07891765132194177
2994.923362,0.565,0.24795155218056153,0.079686757434414
2995.923362,0.562,0.2502636844309389,0.08045995818611998
2996.923362,0.559,0.25258819211357664,0.08123729740937093
2997.278289,0.5564,0.2546128786799912,0.08191437337458236
2998.278289,0.5539,0.25656863485331644,0.08256839830897869
2999.278289,0.5517,0.25829701604226013,0.083146386715268
3000.278289,0.5497,0.25987426303426947,0.08367383429515819
3001.278289,0.5471,0.26193328522253073,0.08436239244466848
3001.633216,0.5441,0.26432127409409545,0.08516096042894274
3002.633216,0.5385,0.26881429236599963,0.0866634718465738
3003.633216,0.5315,0.27449673114068446,0.08856373768620837
3004.633216,0.5261,0.2789316982028409,0.09004683618357631
3005.633216,0.5216,0.2826624172761363,0.09129442692645229
3005.988143,0.519,0.28483264215154214,0.09202017239570948
3006.988143,0.5175,0.2860896458710447,0.09244052733892605
3007.988143,0.5157,0.2876028685932851,0.0929465645459863
3008.988143,0.5137,0.28929043427566276,0.0935109038280298
3009.988143,0.5127,0.2901366825596007,0.09379389793840731
3010.34307,0.5122,0.2905604258675891,0.09393560204906688
3011.34307,0.5094,0.2929410593724037,0.09473171032321888
3012.34307,0.5054,0.2963647624161041,0.09587663175518936
3013.34307,0.503,0.2984320149440726,0.09656794221475777
