cm-1,T_ref,A_ref,A_ref_norm
2364.754111,0.03,1.5228787452803376,0.8727827925134267
2365.427023,0.0303,1.518557371497695,0.8703047388571218
2366.427023,0.0308,1.5114492834995557,0.8662286685287748
2367.427023,0.031,1.5086383061657274,0.8646167383856657
2368.427023,0.031,1.5086383061657274,0.8646167383856657
2369.427023,0.031,1.5086383061657274,0.8646167383856657
2370.099935,0.031,1.5086383061657274,0.8646167383856657
2371.099935,0.031,1.5086383061657274,0.8646167383856657
2372.099935,0.031,1.5086383061657274,0.8646167383856657
2373.099935,0.0315,1.5016894462103996,0.8606319759731625
2374.099935,0.0325,1.4881166390211256,0.852848769480635
2374.772847,0.033,1.4814860601221125,0.8490465225308075
2375.772847,0.033,1.4814860601221125,0.8490465225308075
2376.772847,0.0332,1.4788619162959638,0.8475417304137319
2377.772847,0.0337,1.4723700991286615,0.843819055154278
2378.772847,0.0357,1.4473317838878068,0.8294610542612444
2379.445759,0.0392,1.4067139329795428,0.8061691061407744
2380.445759,0.0731,1.1360826230421395,0.65097796998063
2381.445759,0.1416,0.8489367466462497,0.4863167014382511
2382.445759,0.2083,0.6813107300522541,0.3901930416472298
2383.445759,0.2729,0.5639964643301035,0.32292021135488597
2384.118671,0.3557,0.44891613481421966,0.2569284120638701
2385.118671,0.462,0.33535802444387447,0.19180951590714243
2386.118671,0.545,0.26360349772335756,0.15066251584655768
2387.118671,0.5966,0.2243167509739561,0.1281338776579989
2388.118671,0.6372,0.19572423287090612,0.11173775050213447
2388.791582,0.662,0.17914201056030005,0.10222882146861548
2389.791582,0.6876,0.16266413198498522,0.09277972742918784
2390.791582,0.7144,0.14605855411950996,0.08325740535885932
2391.791582,0.7439,0.12848544129161807,0.07318025890355175
2392.791582,0.7776,0.10924374808178186,0.062146279754686416
2393.464494,0.81,0.09151498112135023,0.051979874810837906
2394.464494,0.8402,0.07561732279802685,0.04286350295403765
2395.464494,0.8818,0.05462990550969621,0.030828453739678657
2396.464494,0.9429,0.025534364262757576,0.014143872401506252
2397.464494,0.9824,0.007711646202907517,0.003923592028884873
2398.137406,0.9834,0.007269796045857265,0.003670216955982084
2399.137406,0.9843,0.0068725148942898944,0.0034423995859186886
2400.137406,0.9853,0.00643151721027255,0.003189513356152909
2401.137406,0.9863,0.005990966876386762,0.0029368836553718717
2402.137406,0.9873,0.005550862985964013,0.0026845099636545167
2402.810318,0.9882,0.005155150446602036,0.00245759210041613
2403.810318,0.9887,0.004935465843858455,0.0023316159038535376
2404.810318,0.9893,0.004671990922590423,0.0021805285356153686
2405.810318,0.9903,0.004233220950026049,0.0019289197673210776
2406.810318,0.991,0.0039263455147246756,0.0017529447573524433
2407.48323,0.991,0.0039263455147246756,0.0017529447573524433
2408.48323,0.991,0.0039263455147246756,0.0017529447573524433
2409.48323,0.991,0.0039263455147246756,0.0017529447573524433
2410.48323,0.9911,0.0038825238627119936,0.0017278156177645827
2411.48323,0.9916,0.003663481904216162,0.0016022079398740462
2412.156141,0.992,0.0034883278458213473,0.0015017673909529371
2413.156141,0.992,0.0034883278458213473,0.0015017673909529371
2414.156141,0.9922,0.0034007772998332414,0.0014515623030550225
2415.156141,0.9932,0.002963289117473315,0.0012006885660407157
2416.156141,0.994,0.00261361560268669,0.001000171375116284
2416.829053,0.994,0.00261361560268669,0.001000171375116284
2417.829053,0.994,0.00261361560268669,0.001000171375116284
2418.829053,0.994,0.00261361560268669,0.001000171375116284
2419.829053,0.994,0.00261361560268669,0.001000171375116284
2420.829053,0.994,0.00261361560268669,0.001000171375116284
2421.501965,0.994,0.00261361560268669,0.001000171375116284
2422.501965,0.994,0.00261361560268669,0.001000171375116284
2423.501965,0.9938,0.0027010075904860013,0.0010502855392202288
2424.501965,0.9928,0.0031382315093265774,0.001301007736651687
2425.501965,0.992,0.0034883278458213473,0.0015017673909529371
2426.174877,0.992,0.0034883278458213473,0.0015017673909529371
2427.174877,0.992,0.0034883278458213473,0.0015017673909529371
2428.174877,0.992,0.0034883278458213473,0.0015017673909529371
2429.174877,0.992,0.0034883278458213473,0.0015017673909529371
2430.174877,0.992,0.0034883278458213473,0.0015017673909529371
2430.847789,0.992,0.0034883278458213473,0.0015017673909529371
2431.847789,0.992,0.0034883278458213473,0.0015017673909529371
2432.847789,0.992,0.0034883278458213473,0.0015017673909529371
2433.847789,0.992,0.0034883278458213473,0.0015017673909529371
2434.847789,0.992,0.0034883278458213473,0.0015017673909529371
2435.520701,0.992,0.0034883278458213473,0.0015017673909529371
2436.520701,0.992,0.0034883278458213473,0.0015017673909529371
2437.520701,0.992,0.0034883278458213473,0.0015017673909529371
2438.520701,0.992,0.0034883278458213473,0.0015017673909529371
2439.520701,0.992,0.0034883278458213473,0.0015017673909529371
2440.193612,0.992,0.0034883278458213473,0.0015017673909529371
2441.193612,0.992,0.0034883278458213473,0.0015017673909529371
2442.193612,0.992,0.0034883278458213473,0.0015017673909529371
2443.193612,0.993,0.0030507515046188267,0.0012508431000284126
2444.193612,0.994,0.00261361560268669,0.001000171375116284
2444.866524,0.994,0.00261361560268669,0.001000171375116284
2445.866524,0.994,0.00261361560268669,0.001000171375116284
2446.866524,0.994,0.00261361560268669,0.001000171375116284
2447.866524,0.994,0.00261361560268669,0.001000171375116284
2448.866524,0.994,0.00261361560268669,0.001000171375116284
2449.539436,0.994,0.00261361560268669,0.001000171375116284
2450.539436,0.994,0.00261361560268669,0.001000171375116284
2451.539436,0.994,0.00261361560268669,0.001000171375116284
2452.539436,0.994,0.00261361560268669,0.001000171375116284
2453.539436,0.994,0.00261361560268669,0.001000171375116284
2454.212348,0.994,0.00261361560268669,0.001000171375116284
2455.212348,0.994,0.00261361560268669,0.001000171375116284
2456.212348,0.994,0.00261361560268669,0.001000171375116284
2457.212348,0.994,0.00261361560268669,0.001000171375116284
2458.212348,0.994,0.00261361560268669,0.001000171375116284
2458.88526,0.994,0.00261361560268669,0.001000171375116284
2459.88526,0.994,0.00261361560268669,0.001000171375116284
2460.88526,0.994,0.00261361560268669,0.001000171375116284
2461.88526,0.994,0.00261361560268669,0.001000171375116284
2462.88526,0.994,0.00261361560268669,0.001000171375116284
2463.558172,0.994,0.00261361560268669,0.001000171375116284
2464.558172,0.994,0.00261361560268669,0.001000171375116284
2465.558172,0.994,0.00261361560268669,0.001000171375116284
2466.558172,0.994,0.00261361560268669,0.001000171375116284
2467.558172,0.994,0.00261361560268669,0.001000171375116284
2468.231083,0.994,0.00261361560268669,0.001000171375116284
2469.231083,0.994,0.00261361560268669,0.001000171375116284
2470.231083,0.994,0.00261361560268669,0.001000171375116284
2471.231083,0.994,0.00261361560268669,0.001000171375116284
2472.231083,0.994,0.00261361560268669,0.001000171375116284
2472.903995,0.994,0.00261361560268669,0.001000171375116284
2473.903995,0.994,0.00261361560268669,0.001000171375116284
2474.903995,0.994,0.00261361560268669,0.001000171375116284
2475.903995,0.994,0.00261361560268669,0.001000171375116284
2476.903995,0.994,0.00261361560268669,0.001000171375116284
2477.576907,0.994,0.00261361560268669,0.001000171375116284
2478.576907,0.994,0.00261361560268669,0.001000171375116284
2479.576907,0.994,0.00261361560268669,0.001000171375116284
2480.576907,0.994,0.00261361560268669,0.001000171375116284
2481.576907,0.994,0.00261361560268669,0.001000171375116284
2482.249819,0.994,0.00261361560268669,0.001000171375116284
2483.249819,0.994,0.00261361560268669,0.001000171375116284
2484.249819,0.994,0.00261361560268669,0.001000171375116284
2485.249819,0.994,0.00261361560268669,0.001000171375116284
2486.249819,0.994,0.00261361560268669,0.001000171375116284
2486.922731,0.994,0.00261361560268669,0.001000171375116284
2487.922731,0.994,0.00261361560268669,0.001000171375116284
2488.922731,0.994,0.00261361560268669,0.001000171375116284
2489.922731,0.994,0.00261361560268669,0.001000171375116284
2490.922731,0.994,0.00261361560268669,0.001000171375116284
2491.595642,0.994,0.00261361560268669,0.001000171375116284
2492.595642,0.994,0.00261361560268669,0.001000171375116284
2493.595642,0.994,0.00261361560268669,0.001000171375116284
2494.595642,0.994,0.00261361560268669,0.001000171375116284
2495.595642,0.994,0.00261361560268669,0.001000171375116284
2496.268554,0.994,0.00261361560268669,0.001000171375116284
2497.268554,0.994,0.00261361560268669,0.001000171375116284
2498.268554,0.994,0.00261361560268669,0.001000171375116284
2499.268554,0.994,0.00261361560268669,0.001000171375116284
2500.268554,0.994,0.00261361560268669,0.001000171375116284
2500.941466,0.994,0.00261361560268669,0.001000171375116284
2501.941466,0.994,0.00261361560268669,0.001000171375116284
2502.941466,0.994,0.00261361560268669,0.001000171375116284
2503.941466,0.994,0.00261361560268669,0.001000171375116284
2504.941466,0.994,0.00261361560268669,0.001000171375116284
2505.614378,0.994,0.00261361560268669,0.001000171375116284
2506.614378,0.994,0.00261361560268669,0.001000171375116284
2507.614378,0.994,0.00261361560268669,0.001000171375116284
2508.614378,0.994,0.00261361560268669,0.001000171375116284
2509.614378,0.994,0.00261361560268669,0.001000171375116284
2510.28729,0.994,0.00261361560268669,0.001000171375116284
2511.28729,0.994,0.00261361560268669,0.001000171375116284
2512.28729,0.994,0.00261361560268669,0.001000171375116284
2513.28729,0.994,0.00261361560268669,0.001000171375116284
2514.28729,0.994,0.00261361560268669,0.001000171375116284
2514.960202,0.994,0.00261361560268669,0.001000171375116284
2515.960202,0.994,0.00261361560268669,0.001000171375116284
2516.960202,0.994,0.00261361560268669,0.001000171375116284
2517.960202,0.994,0.00261361560268669,0.001000171375116284
2518.960202,0.994,0.00261361560268669,0.001000171375116284
2519.633113,0.994,0.00261361560268669,0.001000171375116284
2520.633113,0.994,0.00261361560268669,0.001000171375116284
2521.633113,0.994,0.00261361560268669,0.001000171375116284
2522.633113,0.994,0.00261361560268669,0.001000171375116284
2523.633113,0.994,0.00261361560268669,0.001000171375116284
2524.306025,0.994,0.00261361560268669,0.001000171375116284
2525.306025,0.9942,0.002526241197019637,0.0009500672933309072
2526.306025,0.9947,0.002307882058273408,0.0008248511723993859
2527.306025,0.995,0.002176919254274547,0.0007497517082908076
2528.306025,0.995,0.002176919254274547,0.0007497517082908076
2528.978937,0.995,0.002176919254274547,0.0007497517082908076
2529.978937,0.995,0.002176919254274547,0.0007497517082908076
2530.978937,0.995,0.002176919254274547,0.0007497517082908076
2531.978937,0.995,0.002176919254274547,0.0007497517082908076
2532.978937,0.995,0.002176919254274547,0.0007497517082908076
2533.651849,0.995,0.002176919254274547,0.0007497517082908076
2534.651849,0.995,0.002176919254274547,0.0007497517082908076
2535.651849,0.995,0.002176919254274547,0.0007497517082908076
2536.651849,0.995,0.002176919254274547,0.0007497517082908076
2537.651849,0.995,0.002176919254274547,0.0007497517082908076
2538.324761,0.995,0.002176919254274547,0.0007497517082908076
2539.324761,0.995,0.002176919254274547,0.0007497517082908076
2540.324761,0.995,0.002176919254274547,0.0007497517082908076
2541.324761,0.995,0.002176919254274547,0.0007497517082908076
2542.324761,0.995,0.002176919254274547,0.0007497517082908076
2542.997673,0.995,0.002176919254274547,0.0007497517082908076
2543.997673,0.995,0.002176919254274547,0.0007497517082908076
2544.997673,0.995,0.002176919254274547,0.0007497517082908076
2545.997673,0.995,0.002176919254274547,0.0007497517082908076
2546.997673,0.995,0.002176919254274547,0.0007497517082908076
2547.670584,0.995,0.002176919254274547,0.0007497517082908076
2548.670584,0.995,0.002176919254274547,0.0007497517082908076
2549.670584,0.995,0.002176919254274547,0.0007497517082908076
2550.670584,0.995,0.002176919254274547,0.0007497517082908076
2551.670584,0.995,0.002176919254274547,0.0007497517082908076
2552.343496,0.995,0.002176919254274547,0.0007497517082908076
2553.343496,0.995,0.002176919254274547,0.0007497517082908076
2554.343496,0.995,0.002176919254274547,0.0007497517082908076
2555.343496,0.995,0.002176919254274547,0.0007497517082908076
2556.343496,0.995,0.002176919254274547,0.0007497517082908076
2557.016408,0.9953,0.0020459959305970396,0.0006746748838240662
2558.016408,0.9963,0.0016098696819523348,0.000424582135678671
2559.016408,0.997,0.0013048416883442813,0.00024966652484401835
2560.016408,0.997,0.0013048416883442813,0.00024966652484401835
