Wavelength,Flux
467.299,223.5125
467.512,225.50751
467.726,190.46621
467.939,302.73
468.153,223.63276
468.366,238.68453
468.58,299.77912
468.793,298.86551
469.007,231.1559
469.22,261.92526
469.434,184.48395
469.647,234.57159
469.86,330.75094
470.074,336.74231
470.287,303.91339
470.5,277.63
470.714,176.29913
470.927,185.05336
471.14,252.72202
471.353,290.9557
471.567,263.00763
471.78,255.38894
471.993,337.56626
472.206,321.77345
472.419,282.94564
472.633,261.84529
472.846,285.62704
473.059,381.22627
473.272,334.93545
473.485,268.47095
473.698,290.66597
473.911,206.94879
474.124,117.16018
474.337,257.20526
474.55,256.29711
474.763,369.65581
474.976,316.01677
475.189,301.72337
475.402,372.94984
475.614,326.58736
475.827,320.38102
476.04,266.11543
476.253,283.17273
476.466,246.98705
476.678,296.47782
476.891,213.97306
477.104,333.52952
477.317,321.10723
477.529,340.32647
477.742,280.3374
477.955,283.19704
478.167,245.60262
478.38,319.03674
478.593,217.5216
478.805,229.81465
479.018,155.50412
479.23,336.06749
479.443,83.91567
479.655,157.55358
479.868,173.59577
480.08,267.12572
480.293,237.53287
480.505,196.90608
480.718,138.39858
480.93,154.31603
481.143,34.44615
481.355,109.64571
481.567,170.45623
481.78,186.90515
481.992,51.39353
482.204,226.29306
482.417,125.75433
482.629,198.21502
482.841,164.58868
483.053,165.86775
483.265,222.18761
483.478,216.43179
483.69,153.05478
483.902,87.10188
484.114,197.3796
484.326,118.43508
484.538,74.70578
484.75,118.94666
484.962,83.20246
485.175,173.39466
485.387,53.51677
485.599,125.35636
485.811,-14.57902
486.022,143.23106
486.234,83.49526
486.446,115.49587
486.658,18.96191
486.87,137.24343
487.082,133.9561
487.294,137.93866
487.506,97.68169
487.718,81.17363
487.929,117.33978
488.141,115.59464
488.353,72.95965
488.565,207.33611
488.776,121.47613
488.988,204.86103
489.2,101.5396
489.411,144.16634
489.623,74.24384
489.835,118.19779
490.046,178.36393
490.258,173.77145
490.47,136.13424
490.681,79.59404
490.893,171.47548
491.104,58.0176
491.316,134.49474
491.527,94.69107
491.739,139.31859
491.95,116.41776
492.162,123.7779
492.373,119.44025
492.584,66.81371
492.796,193.72831
493.007,106.19508
493.218,23.75825
493.43,184.18479
493.641,94.67639
493.852,160.14852
494.064,93.96247
494.275,159.20972
494.486,54.18106
494.697,126.51715
494.909,124.2828
495.12,75.52439
495.331,99.3186
495.542,201.44782
495.753,82.15047
495.964,29.73125
496.175,155.63707
496.386,211.4945
496.597,67.46776
496.808,69.57168
497.019,56.4642
497.23,79.36568
497.441,110.55187
497.652,120.11585
497.863,113.52116
498.074,191.74927
498.285,107.09206
498.496,112.72197
498.707,227.26442
498.918,117.16613
499.129,149.49706
499.339,23.78568
499.55,196.16398
499.761,183.11484
499.972,234.67211
500.182,43.6696
500.393,13.26156
500.604,74.59293
500.815,128.13484
501.025,110.78029
501.236,201.43201
501.447,96.06835
501.657,140.13406
501.868,61.02055
502.078,186.09437
502.289,200.60545
502.499,166.37573
502.71,83.77572
502.92,134.31871
503.131,134.04877
503.341,72.4413
503.552,167.7448
503.762,145.27368
503.973,125.31748
504.183,85.21681
504.393,124.05443
504.604,157.08831
504.814,132.9594
505.024,178.25275
505.235,284.29275
505.445,68.55137
505.655,180.53376
505.866,115.14304
506.076,90.01315
506.286,188.60397
506.496,182.31595
506.706,173.95899
506.917,130.74235
507.127,184.65255
507.337,84.70855
507.547,137.69395
507.757,132.85622
507.967,194.23359
508.177,135.61254
508.387,241.44739
508.597,254.2943
508.807,154.71421
509.017,264.76458
509.227,152.09973
509.437,269.21401
509.647,183.25984
509.857,168.43007
510.067,193.14424
510.277,162.28535
510.486,249.18507
510.696,150.83363
510.906,252.71312
511.116,245.12871
511.326,259.02292
511.535,215.87374
511.745,134.43486
511.955,225.6866
512.165,260.66201
512.374,247.27071
512.584,340.57082
512.794,324.31669
513.003,368.35076
513.213,330.80166
513.422,274.3951
513.632,375.73285
513.841,305.42004
514.051,282.46
514.261,340.78943
514.47,274.86701
514.68,323.44095
514.889,246.00676
515.098,347.17018
515.308,308.95656
515.517,296.72871
515.727,287.88319
515.936,353.90677
516.145,258.78573
516.355,351.23987
