CENTRALWAVELNG,BANDWIDTH
0.88897,0.00047
0.88944,0.00047
0.88991,0.00047
0.89038,0.00047
0.89085,0.00047
0.89132,0.00047
0.89179,0.00047
0.89226,0.00047
0.89274,0.00047
0.89321,0.00047
0.89368,0.00047
0.89415,0.00047
0.89462,0.00047
0.89509,0.00047
0.89556,0.00047
0.89603,0.00047
0.8965,0.00047
0.89697,0.00047
0.89745,0.00047
0.89792,0.00047
0.89839,0.00047
0.89886,0.00047
0.89933,0.00047
0.8998,0.00047
0.90027,0.00047
0.90075,0.00047
0.90122,0.00047
0.90169,0.00047
0.90216,0.00047
0.90263,0.00047
0.9031,0.00047
0.90358,0.00047
0.90405,0.00047
0.90452,0.00047
0.90499,0.00047
0.90546,0.00047
0.90594,0.00047
0.90641,0.00047
0.90688,0.00047
0.90735,0.00047
0.90782,0.00047
0.9083,0.00047
0.90877,0.00047
0.90924,0.00047
0.90971,0.00047
0.91019,0.00047
0.91066,0.00047
0.91113,0.00047
0.9116,0.00047
0.91208,0.00047
0.91255,0.00047
0.91302,0.00047
0.91349,0.00047
0.91397,0.00047
0.91444,0.00047
0.91491,0.00047
0.91539,0.00047
0.91586,0.00047
0.91633,0.00047
0.9168,0.00047
0.91728,0.00047
0.91775,0.00047
0.91822,0.00047
0.9187,0.00047
0.91917,0.00047
0.91964,0.00047
0.92012,0.00047
0.92059,0.00047
0.92107,0.00047
0.92154,0.00047
0.92201,0.00047
0.92248,0.00047
0.92296,0.00047
0.92343,0.00047
0.92391,0.00047
0.92438,0.00047
0.92485,0.00047
0.92533,0.00047
0.9258,0.00047
0.92628,0.00047
0.92675,0.00047
0.92722,0.00047
0.9277,0.00047
0.92817,0.00047
0.92865,0.00047
0.92912,0.00047
0.92959,0.00047
0.93007,0.00047
0.93054,0.00047
0.93102,0.00047
0.93149,0.00047
0.93197,0.00047
0.93244,0.00047
0.93292,0.00047
0.93339,0.00047
0.93386,0.00047
0.93434,0.00047
0.93481,0.00047
0.93529,0.00047
0.93576,0.00047
0.93624,0.00047
0.93671,0.00047
0.93719,0.00047
0.93766,0.00047
0.93814,0.00047
0.93861,0.00047
0.93909,0.00047
0.93956,0.00047
0.94004,0.00047
0.94051,0.00047
0.94099,0.00047
0.94146,0.00047
0.94194,0.00047
0.94242,0.00047
0.94289,0.00047
0.94337,0.00047
0.94384,0.00048
0.94432,0.00048
0.94479,0.00048
0.94527,0.00048
0.94574,0.00048
0.94622,0.00048
0.9467,0.00048
0.94717,0.00048
0.94765,0.00048
0.94812,0.00048
0.9486,0.00048
0.94908,0.00048
0.94955,0.00048
