wavelength_nm,intensity,source_count
391.321,325.12651,12
391.537,217.71201666666664,12
391.753,228.38271583333335,12
391.969,293.48595333333327,12
392.185,246.28742833333334,12
392.401,275.7141483333333,12
392.618,247.35940083333335,12
392.834,333.7357716666666,12
393.05,278.3391766666667,12
393.266,307.13915583333335,12
393.482,360.5369716666667,12
393.698,251.93776249999996,12
393.914,364.80321583333347,12
394.13,309.26723250000003,12
394.346,374.20254416666666,12
394.562,307.3152441666667,12
394.778,260.8134416666666,12
394.994,380.0056941666667,12
395.21,309.343775,12
395.426,310.12013666666667,12
395.642,293.4958975,12
395.858,260.1575575,12
396.073,300.86593999999997,12
396.289,283.80747249999996,12
396.505,341.879615,12
396.721,363.81230333333343,12
396.937,313.1321116666666,12
397.153,262.3484358333334,12
397.369,316.44580499999995,12
397.584,311.78015999999997,12
397.8,277.0879291666667,12
398.016,367.2549924999999,12
398.232,500.55551999999994,12
398.447,390.9940583333334,12
398.663,316.78002,12
398.879,243.769415,12
399.094,353.6540366666666,12
399.31,448.7948983333333,12
399.526,380.4349341666666,12
399.741,284.3225233333333,12
399.957,404.1396416666667,12
400.173,332.3649308333333,12
400.388,338.47921583333334,12
400.604,304.3045675,12
400.82,352.76749583333327,12
401.035,358.4927391666667,12
401.251,321.3687933333334,12
401.466,240.5102408333333,12
401.682,359.2337691666667,12
401.897,357.0018333333333,12
402.113,347.9965016666666,12
402.328,316.2503625,12
402.544,394.2480908333334,12
402.759,398.57129499999996,12
402.974,372.4198816666667,12
403.19,459.4048883333333,12
403.405,482.91096833333336,12
403.621,473.37528333333336,12
403.836,521.8979933333334,12
404.051,392.4487566666667,12
404.267,487.1283133333333,12
404.482,524.19004,12
404.697,529.1526725,12
404.913,404.31560250000007,12
405.128,539.0007533333334,12
405.343,537.3414316666667,12
405.559,439.69947499999995,12
405.774,459.9672925,12
405.989,508.5082591666667,12
406.204,550.0893333333333,12
406.42,538.4974733333332,12
406.635,518.4250691666667,12
406.85,573.7429491666667,12
407.065,575.4112124999999,12
407.28,426.1676166666667,12
407.495,485.2150483333334,12
407.71,665.9651308333335,12
407.926,531.1822016666666,12
408.141,547.3424733333335,12
408.356,676.01621,12
408.571,596.8623216666666,12
408.786,540.33759,12
409.001,527.9129866666667,12
409.216,591.2239875,12
409.431,625.7718391666668,12
409.646,681.6641758333333,12
409.861,616.6640608333333,12
410.076,648.7819433333333,12
410.291,571.5773925,12
410.506,588.0607258333333,12
410.721,502.375045,12
410.936,560.4986416666667,12
