CENTRALWAVELNG,PL_TRANDEP
0.99514,1.90294
0.99606,1.89522
0.99697,1.92585
0.99789,1.93119
0.99881,1.95077
0.99973,1.90034
1.00065,1.94486
1.00156,1.90501
1.00248,1.87293
1.0034,1.87319
1.00432,1.87169
1.00524,1.90848
1.00616,1.90256
1.00708,1.8746
1.008,1.89696
1.00892,1.82654
1.00984,1.94803
1.01076,1.93254
1.01168,1.92043
1.0126,1.8978
1.01352,1.86075
1.01444,1.87914
1.01536,1.85337
1.01629,1.86627
1.01721,1.91338
1.01813,1.95176
1.01905,1.8842
1.01997,1.90604
1.02089,1.89838
1.02182,1.84745
1.02274,1.9066
1.02366,1.89481
1.02459,1.87667
1.02551,1.90432
1.02643,1.91208
1.02736,1.85897
1.02828,1.8804
1.0292,1.89768
1.03013,1.90523
1.03105,1.91485
1.03198,1.9276
1.0329,1.88402
1.03382,1.87579
1.03475,1.89328
1.03567,1.88917
1.0366,1.87019
1.03752,1.90761
1.03845,1.89881
1.03938,1.85491
1.0403,1.87742
1.04123,1.90022
1.04215,1.94981
1.04308,1.86632
1.04401,1.87758
1.04493,1.91139
1.04586,1.8909
1.04679,1.89201
1.04771,1.87766
1.04864,1.85446
1.04957,1.89197
1.0505,1.8749
1.05142,1.89068
1.05235,1.8832
1.05328,1.88215
1.05421,1.87913
1.05514,1.93559
1.05607,1.92357
1.05699,1.89809
1.05792,1.86667
1.05885,1.89693
1.05978,1.86722
1.06071,1.87132
1.06164,1.90604
1.06257,1.91023
1.0635,1.89245
1.06443,1.88905
1.06536,1.92372
1.06629,1.88208
1.06722,1.89029
1.06815,1.8943
1.06908,1.92065
1.07001,1.88067
1.07095,1.85862
1.07188,1.86986
1.07281,1.93155
1.07374,1.88889
1.07467,1.9039
1.0756,1.91275
1.07654,1.87372
1.07747,1.91131
1.0784,1.88865
1.07933,1.8821
1.08027,1.95159
1.0812,1.93
1.08213,1.8896
1.08306,2.0007
1.084,2.04476
1.08493,1.94425
1.08587,1.92127
1.0868,1.90487
1.08773,1.93144
1.08867,1.89246
1.0896,1.85654
1.09054,1.8886
1.09147,1.87623
1.0924,1.95161
1.09334,1.86855
1.09427,1.88934
1.09521,1.93019
1.09614,1.90557
1.09708,1.86657
1.09802,1.86548
1.09895,1.88587
1.09989,1.90338
1.10082,1.89785
1.10176,1.90574
1.1027,1.88979
1.10363,1.93696
1.10457,1.89171
1.10551,1.88588
1.10644,1.91305
1.10738,1.91649
1.10832,1.92014
1.10925,1.87513
1.11019,1.86156
1.11113,1.88216
1.11207,1.85722
1.113,1.89939
1.11394,1.89801
1.11488,1.89749
1.11582,1.88134
1.11676,1.90013
1.1177,1.90195
1.11864,1.88957
1.11957,1.91769
1.12051,1.90213
1.12145,1.93099
1.12239,1.94034
1.12333,1.90997
1.12427,1.87287
1.12521,1.91431
1.12615,1.9201
1.12709,1.92068
1.12803,1.83629
1.12897,1.91133
1.12991,1.90602
1.13085,1.91468
1.13179,1.92215
1.13273,1.92658
1.13367,1.93011
1.13461,1.92004
1.13556,1.9331
1.1365,1.87624
1.13744,1.90472
1.13838,1.89558
1.13932,1.85054
1.14026,1.89936
1.14121,1.89518
1.14215,1.8816
1.14309,1.8536
1.14403,1.92797
1.14498,1.8835
1.14592,1.88799
1.14686,1.92937
1.1478,1.90015
1.14875,1.88103
1.14969,1.88498
1.15063,1.91241
1.15158,1.87924
1.15252,1.91319
1.15346,1.90558
1.15441,1.88835
1.15535,1.92818
1.1563,1.90859
1.15724,1.9045
1.15819,1.90334
1.15913,1.89151
1.16007,1.87106
1.16102,1.8959
1.16196,1.88469
1.16291,1.89259
1.16385,1.89186
1.1648,1.89739
1.16575,1.92296
1.16669,1.89857
1.16764,1.89509
1.16858,1.87067
1.16953,1.90041
1.17047,1.88345
1.17142,1.88684
1.17237,1.9073
1.17331,1.90531
1.17426,1.91693
1.17521,1.89354
1.17615,1.91574
1.1771,1.85728
1.17805,1.93263
1.17899,1.88597
1.17994,1.91941
1.18089,1.90168
1.18184,1.87844
1.18278,1.91163
1.18373,1.91297
1.18468,1.90638
1.18563,1.90322
1.18658,1.84937
1.18752,1.8699
1.18847,1.87417
1.18942,1.85306
1.19037,1.87407
1.19132,1.86451
1.19227,1.88699
1.19322,1.90672
1.19416,1.89363
1.19511,1.90493
1.19606,1.87699
1.19701,1.87223
1.19796,1.89339
1.19891,1.89915
1.19986,1.89371
1.20081,1.89648
1.20176,1.86047
1.20271,1.90049
1.20366,1.8968
1.20461,1.87867
1.20556,1.91327
1.20651,1.89973
1.20746,1.88646
1.20841,1.87499
1.20937,1.87969
1.21032,1.87304
1.21127,1.86716
1.21222,1.89605
1.21317,1.88264
