x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
364.402,358.471436,18621.9739292365,-0.8859997514,364.402,1434.913628,364.402,178.151238,364.402,1120.7230305
364.62,400.126192,18587.3605947955,-1.2623347877,364.62,1503.62439,364.62,212.341438,364.62,1180.803652
364.838,397.027198,18552.8756957328,-1.0035466931,364.838,1556.792202,364.838,214.145812,364.838,1221.1306045
365.056,353.760636,18518.5185185185,-0.5914875597,365.056,1581.054086,365.056,171.517012,365.056,1228.6698175000
365.274,451.2445,18484.2883548983,-0.7114191422,365.274,1781.963276,365.274,214.196486,365.274,1390.0215785
365.492,414.30446,18450.1845018450,-0.9049480442,365.492,1829.798638,365.492,221.48536,365.492,1427.7203185
365.71,397.392212,18416.2062615101,-0.8187601827,365.71,1887.767376,365.71,198.17786,365.71,1465.369997
365.928,488.742366,18382.3529411765,-0.6027543072,365.928,2060.312052,365.928,250.240454,365.928,1607.7941525
366.146,446.571658,18348.6238532110,-0.5103170798,366.146,2199.782564,366.146,216.444446,366.146,1703.9480345000
366.364,482.310304,18315.0183150183,-0.2884057402,366.364,2391.382434,366.364,228.295598,366.364,1850.610725
366.581,529.681568,18281.5356489945,-0.2134911938,366.581,2545.586826,366.581,250.612258,366.581,1971.843184
366.799,523.43276,18248.1751824818,-0.2464000902,366.799,2651.484016,366.799,249.246338,366.799,2050.9245965
367.017,576.620964,18214.9362477231,-0.3050072375,367.017,2815.078196,367.017,265.796506,367.017,2177.7577735
367.235,553.632352,18181.8181818182,-0.3702909819,367.235,2994.847196,367.235,248.376468,367.235,2308.229514
367.453,615.522094,18148.8203266788,-0.3772515965,367.453,3205.53313,367.453,285.323938,367.453,2475.480832
367.67,604.421436,18115.9420289855,-0.3393321679,367.67,3291.528254,367.67,234.065462,367.67,2527.162556
367.888,633.077046,18083.1826401447,-0.3298451655,367.888,3414.844474,367.888,270.38602,367.888,2628.7298605
368.106,620.071992,18050.5415162455,-0.3375590876,368.106,3466.434602,368.106,273.328412,368.106,2668.1580545
368.323,696.479388,18018.0180180180,-0.2896558305,368.323,3541.681852,368.323,335.19718,368.323,2740.060684
368.541,694.951744,17985.6115107914,-0.2804645466,368.541,3653.019346,368.541,265.373624,368.541,2806.1079155
368.759,726.624772,17953.3213644524,-0.2919457502,368.759,3718.22104,368.759,311.002926,368.759,2866.4165115
368.977,707.018312,17921.1469534050,-0.3193975741,368.977,3827.766216,368.977,271.29404,368.977,2938.648172
369.194,706.353636,17889.0876565295,-0.4607024414,369.194,3883.883842,369.194,274.776242,369.194,2981.6069420000
369.412,720.462588,17857.1428571429,-0.4644001159,369.412,3979.693014,369.412,284.610936,369.412,3055.9224945
369.629,780.058866,17825.311942959,-0.5479469127,369.629,4168.198658,369.629,303.834532,369.629,3202.1076265
369.847,798.449238,17793.5943060498,-0.4942659373,369.847,4249.997734,369.847,313.791758,369.847,3265.94624
370.065,786.245568,17761.9893428064,-0.2015882811,370.065,4363.298542,370.065,276.23049,370.065,3341.531529
370.282,868.92414,17730.4964539007,-0.1442004602,370.282,4736.95981,370.282,319.029768,370.282,3632.4772995000
370.5,853.292984,17699.1150442478,-0.1123703655,370.5,4924.654732,370.5,277.885352,370.5,3762.962387
370.717,952.303422,17667.8445229682,-0.0757293997,370.717,5146.012436,370.717,335.9609,370.717,3943.499552
370.935,925.013982,17636.684303351,-0.1413870549,370.935,5355.393628,370.935,312.934874,370.935,4094.7789395
371.152,989.296316,17605.6338028169,-0.1285285038,371.152,5592.93291,371.152,329.832084,371.152,4277.1577035000
371.37,1083.17521,17574.6924428822,-0.0800850850,371.37,5960.47052,371.37,381.93149,371.37,4565.8357625
371.588,1098.31596,17543.8596491228,-0.0794345106,371.588,6214.022708,371.588,381.070888,371.588,4755.784753
371.805,1137.366888,17513.1348511384,-0.1713460967,371.805,6489.709368,371.805,388.131314,371.805,4964.3148545
372.022,1156.05736,17482.5174825175,-0.2216489282,372.022,6724.374064,372.022,402.591006,372.022,5143.9282995
372.24,1182.189968,17452.0069808028,-0.3862313506,372.24,6830.196738,372.24,364.265464,372.24,5213.7139195
372.457,1212.601404,17421.6027874564,-0.6534151373,372.457,6975.028538,372.457,396.193138,372.457,5330.319688
372.675,1195.727214,17391.3043478261,-0.5842972938,372.675,7081.048912,372.675,379.366832,372.675,5405.6283920000
372.892,1212.17445,17361.1111111111,-0.4992470679,372.892,7153.218484,372.892,387.437226,372.892,5461.7731695
373.11,1251.187478,17331.0225303293,-0.5924321496,373.11,7263.19152,373.11,398.83521,373.11,5547.1024425000
373.327,1213.186518,17301.0380622837,-0.6160972452,373.327,7325.257808,373.327,390.459652,373.327,5591.558269
373.544,1224.643008,17271.1571675302,-0.5172222980,373.544,7358.360734,373.544,343.852742,373.544,5604.733736
373.762,1269.631656,17241.3793103448,-0.362859303,373.762,7612.04494,373.762,386.286478,373.762,5805.6053245
373.979,1242.616918,17211.7039586919,-0.3438613633,373.979,7589.548394,373.979,352.83533,373.979,5780.3701280000
374.196,1248.18177,17182.1305841924,-0.3870515145,374.196,7603.664056,374.196,385.708386,374.196,5799.1751385
374.414,1222.786684,17152.6586620926,-0.3169971707,374.414,7536.694102,374.414,349.716198,374.414,5739.949626
374.631,1270.893966,17123.2876712329,-0.2494429614,374.631,7751.297838,374.631,381.234352,374.631,5908.7819665000
374.848,1314.329468,17094.0170940171,-0.2059347937,374.848,7866.230236,374.848,405.148796,374.848,6000.9598760000
375.066,1291.262492,17064.8464163823,-0.1529301364,375.066,7717.157156,375.066,378.379322,375.066,5882.4626975
375.283,1326.67987,17035.7751277683,-0.1929853791,375.283,7887.66828,375.283,391.491016,375.283,6013.623964
375.5,1374.575916,17006.8027210884,-0.3078595806,375.5,7858.053296,375.5,409.52131,375.5,5995.9202995000
375.717,1373.762404,16977.9286926995,-0.6140214199,375.717,8118.26713,375.717,378.601442,375.717,6183.350708
375.935,1443.385134,16949.1525423729,-0.7276144466,375.935,8240.894612,375.935,401.387564,375.935,6281.01785
376.152,1486.430952,16920.4737732657,-0.5249281152,376.152,8434.541626,376.152,404.96921,376.152,6427.148522
376.369,1527.460426,16891.8918918919,-0.3433692002,376.369,8674.443894,376.369,446.37916,376.369,6617.4277105
376.586,1574.618798,16863.4064080944,-0.2574145588,376.586,8929.730774,376.586,440.562276,376.586,6807.4386495
376.803,1614.442332,16835.0168350168,-0.212081016,376.803,9163.365648,376.803,442.011138,376.803,6983.0270205000
377.02,1687.340302,16806.7226890756,-0.2496385455,377.02,9547.815508,377.02,434.823974,377.02,7269.5676245
377.238,1726.06006,16778.5234899329,-0.2676175317,377.238,9705.038922,377.238,464.945666,377.238,7395.015608
377.455,1755.600272,16750.4187604690,-0.2974978859,377.455,9638.39806,377.455,494.692918,377.455,7352.4717745
377.672,1716.106996,16722.4080267559,-0.3226533722,377.672,9953.06454,377.672,457.786578,377.672,7579.2450495
377.889,1756.857144,16694.4908180301,-0.2712606105,377.889,9808.602952,377.889,495.001462,377.889,7480.2025795
378.106,1746.606558,16666.6666666667,-0.2427649778,378.106,9828.27598,378.106,499.325478,378.106,7496.0383545
378.323,1770.54863,16638.9351081531,-0.3062748751,378.323,9840.489728,378.323,521.04835,378.323,7510.6293835000
378.54,1800.9779,16611.2956810631,-0.3722121517,378.54,9800.133738,378.54,498.773366,378.54,7474.7936450000
378.757,1746.500096,16583.7479270315,-0.2592593099,378.757,9509.917478,378.757,497.148006,378.757,7256.72511
378.974,1644.155328,16556.2913907285,-0.1562158827,378.974,9097.580902,378.974,422.706464,378.974,6928.8622925
379.191,1707.15847,16528.9256198347,-0.1061228740,379.191,9052.75022,379.191,488.675844,379.191,6911.731626
379.408,1666.770646,16501.6501650165,-0.0925101117,379.408,8877.227346,379.408,472.141442,379.408,6775.95587
379.625,1578.622906,16474.4645799012,-0.1995357812,379.625,8521.138668,379.625,443.231544,379.625,6501.661887
379.842,1547.626574,16447.3684210526,-0.2727695866,379.842,8005.680866,379.842,430.551154,379.842,6111.898438
380.059,1537.730032,16420.3612479475,-0.4999481306,380.059,7856.809474,380.059,451.890418,380.059,6005.57971
380.276,1508.989258,16393.4426229508,-0.7675936518,380.276,7395.603264,380.276,452.374046,380.276,5659.7959595
380.493,1402.836604,16366.612111293,-0.4094258687,380.493,6928.85313,380.493,420.629142,380.493,5301.7971330000
380.71,1389.517858,16339.8692810458,-0.280942406,380.71,6764.87211,380.71,398.172598,380.71,5173.197232
380.927,1385.244246,16313.2137030995,-0.3219089735,380.927,6492.25392,380.927,421.728818,380.927,4974.6226445
381.143,1370.00807,16286.6449511401,-0.3134875739,381.143,6480.40471,381.143,365.422842,381.143,4951.659243
381.36,1448.382038,16260.1626016260,-0.2679457257,381.36,6684.426732,381.36,432.405832,381.36,5121.421507
381.577,1439.9836,16233.7662337662,-0.2416460780,381.577,6684.430846,381.577,433.381172,381.577,5121.6684275000
381.794,1407.375356,16207.4554294976,-0.2575825876,381.794,6626.739256,381.794,396.465374,381.794,5069.1707855
382.011,1421.874348,16181.2297734628,-0.2368897937,382.011,6674.2654,382.011,404.55799,382.011,5106.8385475000
382.228,1471.387818,16155.0888529887,-0.1970874954,382.228,6804.209098,382.228,462.976104,382.228,5218.9008495000
382.444,1451.626706,16129.0322580645,-0.1647393843,382.444,6785.65336,382.444,447.451008,382.444,5201.102772
382.661,1439.397402,16103.0595813205,-0.1473052381,382.661,6660.226594,382.661,450.370454,382.661,5107.762559
382.878,1436.152576,16077.1704180064,-0.1627137256,382.878,6615.127828,382.878,442.594512,382.878,5071.994499
383.095,1445.137492,16051.3643659711,-0.1924559385,383.095,6508.804502,383.095,434.687186,383.095,4990.275173
383.311,1434.166772,16025.6410256410,-0.2638490218,383.311,6486.946888,383.311,438.57041,383.311,4974.8527685000
383.528,1335.509512,16000.,-0.4431847292,383.528,6071.27256,383.528,427.893356,383.528,4660.427759
383.745,1317.582496,15974.4408945687,-0.6949121673,383.745,5881.864494,383.745,456.821672,383.745,4525.6037885
383.962,1300.414548,15948.9633173844,-0.7124392366,383.962,5810.129086,383.962,433.12253,383.962,4465.877447
384.178,1266.364942,15923.5668789809,-0.6511228811,384.178,5585.176884,384.178,441.01398,384.178,4299.136158
384.395,1155.30702,15898.2511923688,-0.8533026656,384.395,5092.199456,384.395,399.681416,384.395,3919.069946
384.612,1070.992474,15873.0158730159,-0.9190519293,384.612,4710.255452,384.612,347.804362,384.612,3619.6426795
384.828,1058.253338,15847.8605388273,-0.4029488293,384.828,4385.694212,384.828,398.947854,384.828,3389.0076225000
385.045,982.884152,15822.7848101266,-0.1912553422,385.045,3943.927284,385.045,374.184742,385.045,3051.4916485
385.261,942.576508,15797.7883096367,-0.1986845731,385.261,3639.128734,385.261,421.685042,385.261,2834.767811
385.478,816.816252,15772.8706624606,-0.2528045037,385.478,3184.0001,385.478,340.269308,385.478,2473.067402
385.695,769.563294,15748.031496063,-0.3821972104,385.695,2870.694682,385.695,346.11243,385.695,2239.549119
385.911,801.87459,15723.2704402516,-0.4601909757,385.911,2773.328628,385.911,417.309146,385.911,2184.3237575000
386.128,715.708856,15698.5871271586,-0.5647607230,386.128,2626.718162,386.128,347.384862,386.128,2056.884837
386.344,751.916378,15673.9811912226,-0.4756130848,386.344,2678.40004,386.344,368.03392,386.344,2100.80851
386.561,716.664658,15649.4522691706,-0.1652443261,386.561,2723.068314,386.561,338.828762,386.561,2127.008426
386.777,728.691314,15625.,-0.0898344887,386.777,2730.72201,386.777,338.90247,386.777,2132.7671250000
386.994,726.302812,15600.624024961,-0.0657663876,386.994,2826.034418,386.994,360.424698,386.994,2209.6319880000
387.21,762.222922,15576.3239875389,-0.0671080691,387.21,2891.602024,387.21,358.203042,387.21,2258.2522785
387.427,748.757434,15552.0995334370,-0.1490342672,387.427,2978.600492,387.427,377.015544,387.427,2328.204255
387.643,757.600288,15527.9503105590,-0.1993437187,387.643,3040.157958,387.643,354.750186,387.643,2368.806015
387.86,792.343778,15503.8759689922,-0.2405492483,387.86,3093.135052,387.86,371.332682,387.86,2412.6844595000
388.076,771.479046,15479.8761609907,-0.2799861609,388.076,3102.20531,388.076,369.356062,388.076,2418.992998
388.292,760.710084,15455.9505409583,-0.2894328639,388.292,3170.317096,388.292,368.814326,388.292,2469.9414035
388.509,791.088916,15432.0987654321,-0.2912134003,388.509,3195.227956,388.509,383.954368,388.509,2492.409559
388.725,815.36236,15408.3204930663,-0.4251101525,388.725,3304.312392,388.725,381.98384,388.725,2573.730254
388.942,865.144562,15384.6153846154,-0.6968978269,388.942,3450.344674,388.942,421.136972,388.942,2693.0427485
389.158,839.136106,15360.9831029186,-0.7416636225,389.158,3587.883374,389.158,424.111498,389.158,2796.940405
389.374,848.216108,15337.4233128834,-0.7286621434,389.374,3680.163852,389.374,410.220764,389.374,2862.67808
389.591,821.844194,15313.9356814701,-0.9128063927,389.591,3611.632542,389.591,385.060592,389.591,2804.9895545
389.807,864.960306,15290.5198776758,-1.0493110758,389.807,3752.90999,389.807,398.12634,389.807,2914.2140775000
390.023,944.988072,15267.1755725191,-0.5751416409,390.023,4068.920852,390.023,430.271872,390.023,3159.2586070000
390.239,883.152536,15243.9024390244,-0.3644384206,390.239,4011.685548,390.239,389.919972,390.239,3106.244154
390.456,935.426614,15220.7001522070,-0.360763766,390.456,4182.199772,390.456,407.270906,390.456,3238.4675555000
