wavelength,intensity
358.4698468,661.3607531
358.6618678,654.197181
358.8538888,640.9582968
359.0459098,694.044592
359.2379308,721.5674283
359.4299518,717.0195367
359.6219727,767.0169733
359.8139937,834.6581584
360.0060147,864.8974385
360.1980357,882.5695337
360.3900567,989.3371012
360.5820777,1041.065013
360.7740987,1026.515376
360.9661197,1088.650485
361.1581406,1171.350707
361.3501616,1215.266689
361.5421826,1227.324449
361.7342036,1258.760671
361.9262246,1257.14387
362.1182456,1380.738913
362.3102666,1439.952174
362.5022875,1476.964583
362.6943085,1550.465406
362.8863295,1607.552268
363.0783505,1586.306573
363.2703715,1685.397693
363.4623925,1708.214787
363.6544135,1748.821852
363.8464345,1842.027562
364.0384554,1956.067431
364.2304764,2009.453761
364.4224974,1992.315557
364.6145184,2051.608104
364.8065394,1983.683357
364.9985604,1883.3309
365.1905814,1895.98624
365.3826023,1860.668931
365.5746233,1767.592325
365.7666443,1672.843688
365.9586653,1567.332052
366.1506863,1457.717168
366.3427073,1255.549787
366.5347283,1014.038966
366.7267493,746.3301055
366.9187702,529.3825386
367.1107912,401.2200203
367.3028122,321.7950512
367.4948332,240.8504847
367.6868542,288.8908969
367.8788752,286.1869143
368.0708962,181.5266561
368.2629171,136.6689914
368.4549381,174.563842
368.6469591,187.8771295
368.8389801,147.7971961
369.0310011,166.7152908
369.2230221,151.7216092
369.4150431,161.4326773
369.6070641,142.2515493
369.799085,116.5391084
369.991106,124.216719
370.183127,153.8529167
370.375148,191.5333962
370.567169,148.4530204
370.75919,96.50641217
370.951211,139.0420015
371.1432319,203.0937427
371.3352529,180.0708333
371.5272739,99.3224976
371.7192949,246.8120271
371.9113159,151.9443894
372.1033369,89.37535171
372.2953579,175.9182344
372.4873788,224.4931109
372.6793998,206.3655238
372.8714208,185.50472
373.0634418,130.0058886
373.2554628,105.2454992
373.4474838,235.7702242
373.6395048,180.3671727
373.8315258,180.5307227
374.0235467,218.4646023
374.2155677,195.9733952
374.4075887,121.7082818
374.5996097,131.0487385
374.7916307,216.6109145
374.9836517,170.3486896
375.1756727,151.9939772
375.3676936,159.1624719
375.5597146,166.2688833
375.7517356,177.3540588
375.9437566,212.9888888
376.1357776,188.2755015
376.3277986,187.5381448
376.5198196,168.3875666
376.7118406,139.9067965
376.9038615,193.9595829
377.0958825,257.8763298
377.2879035,170.2510469
377.4799245,234.297022
377.6719455,210.9351087
377.8639665,183.6086157
378.0559875,188.9408133
378.2480084,219.001136
378.4400294,222.674405
378.6320504,186.596053
378.8240714,193.7695915
379.0160924,245.2018586
